"STATION","NAME","DATE","TAVG"
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-01-26",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-04-10",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-05-03",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-05-11",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-05-16",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-05-28",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-07-05",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-07-20",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-08-05",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-08-10",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-08-19",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-08-26",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-08-30",
"US1TXPT0020","AMARILLO 5.7 WNW, TX US","2024-09-22",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-01",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-02",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-03",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-04",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-05",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-06",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-07",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-08",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-09",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-10",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-11",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-12",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-13",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-14",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-15",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-16",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-17",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-18",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-19",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-20",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-21",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-22",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-23",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-24",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-25",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-26",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-27",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-28",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-29",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-11-30",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-01",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-02",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-03",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-04",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-05",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-06",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-07",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-08",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-09",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-10",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-11",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-12",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-13",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-14",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-15",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-16",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-17",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-18",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-19",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-20",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-21",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-22",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-23",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-24",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-25",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-26",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-27",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-28",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-29",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-30",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2023-12-31",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-01",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-02",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-03",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-04",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-05",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-06",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-07",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-08",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-09",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-10",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-11",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-12",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-13",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-14",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-15",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-16",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-17",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-18",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-19",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-20",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-21",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-22",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-23",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-24",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-25",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-26",
"US1TXPT0024","AMARILLO 3.1 N, TX US","2024-01-27",
