Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,189,189.25,188.25,188.3,-0.25,-0.13%,9154,0
12/05/2024,190.575,190.75,188.5,188.55,-1.95,-1.02%,11528,82082
12/04/2024,191.15,191.475,190.175,190.5,-0.65,-0.34%,10139,82113
12/03/2024,190.25,191.675,190.125,191.15,1.025,+0.54%,11363,81028
12/02/2024,190.6,191.425,189.25,190.125,-0.65,-0.34%,13586,79081
11/29/2024,190.6,191.225,190.45,190.775,0.35,+0.18%,5594,78717
11/27/2024,189.675,191.05,189.425,190.425,0.875,+0.46%,9919,78565
11/26/2024,189.625,190.7,189.075,189.55,-0.1,-0.05%,10352,78500
11/25/2024,190.5,192,189.525,189.65,-0.3,-0.16%,14178,78351
11/22/2024,189.7,190.85,189.4,189.95,0.425,+0.22%,10069,76960
11/21/2024,189.55,190.075,189.25,189.525,-0.175,-0.09%,9252,75512
11/20/2024,189,189.975,189,189.7,0.275,+0.15%,9659,74482
11/19/2024,187.925,189.475,187.3,189.425,1.5,+0.80%,14301,73992
11/18/2024,187.375,188.275,187.275,187.925,0.525,+0.28%,12628,72337
11/15/2024,186.55,188.775,186.5,187.4,0.475,+0.25%,14235,70840
11/14/2024,186.975,187.725,186.625,186.925,-0.75,-0.40%,9510,69754
11/13/2024,187.7,188.1,187.325,187.675,-0.025,-0.01%,12648,68872
11/12/2024,186.75,188.075,186.175,187.7,0.95,+0.51%,12925,67041
11/11/2024,186.525,186.85,185.65,186.75,0.225,+0.12%,11125,67231
11/08/2024,187.325,187.4,186.2,186.525,-1.725,-0.92%,14399,66147
11/07/2024,187.825,188.425,187.4,188.25,0.45,+0.24%,9868,66376
11/06/2024,187.6,188.3,187.15,187.8,0.8,+0.43%,8306,64870
11/05/2024,187.025,187.475,186.625,187,0.125,+0.07%,7081,64570
11/04/2024,187.575,187.7,186.525,186.875,-0.825,-0.44%,8924,63745
11/01/2024,187.3,188.05,185.925,187.7,0.35,+0.19%,12237,62865
10/31/2024,187.8,187.9,186.625,187.35,-0.25,-0.13%,10900,63227
10/30/2024,188.875,188.95,186.75,187.6,-1.5,-0.79%,10728,62984
10/29/2024,190.625,190.775,188.9,189.1,-1.6,-0.84%,8399,62291
10/28/2024,189.9,190.75,189.875,190.7,0.35,+0.18%,7160,61823
10/25/2024,190.1,190.575,189.75,190.35,0,0.00%,7348,61201
