Time,Open,High,Low,Last,Change,%Chg,Volume
12/05/2024,302,302,302,302,0,0.00%,0
12/04/2024,302,302,302,302,-1.,-0.33%,0
12/03/2024,303,303,303,303,0,0.00%,0
12/02/2024,303,303,303,303,2,+0.66%,0
11/29/2024,301,301,301,301,2,+0.67%,0
11/26/2024,299,299,299,299,2,+0.67%,0
11/25/2024,297,297,297,297,0,0.00%,0
11/22/2024,297,297,297,297,0,0.00%,0
11/21/2024,297,297,297,297,-1.,-0.34%,0
11/20/2024,298,298,298,298,0,0.00%,0
11/19/2024,298,298,298,298,-1.,-0.33%,0
11/18/2024,299,299,299,299,0,0.00%,0
11/15/2024,299,299,299,299,-2.,-0.66%,0
11/14/2024,301,301,301,301,0,0.00%,0
11/13/2024,301,301,301,301,-1.,-0.33%,0
11/12/2024,302,302,302,302,-2.,-0.66%,0
11/11/2024,304,304,304,304,-1.,-0.33%,0
11/08/2024,305,305,305,305,-1.,-0.33%,0
11/07/2024,306,306,306,306,-2.,-0.65%,0
11/06/2024,308,308,308,308,0,0.00%,0
11/05/2024,308,308,308,308,-1.,-0.32%,0
11/04/2024,309,309,309,309,-1.,-0.32%,0
11/01/2024,310,310,310,310,-1.,-0.32%,0
10/31/2024,311,311,311,311,-2.,-0.64%,0
10/30/2024,313,313,313,313,-2.,-0.63%,0
10/29/2024,315,315,315,315,0,0.00%,0
10/28/2024,315,315,315,315,0,0.00%,0
10/25/2024,315,315,315,315,0,0.00%,0
10/24/2024,315,315,315,315,0,0.00%,0
10/23/2024,315,315,315,315,2,+0.64%,0
10/22/2024,313,313,313,313,1,+0.32%,0
10/21/2024,312,312,312,312,3,+0.97%,0
10/17/2024,309,309,309,309,2,+0.65%,0
10/16/2024,307,307,307,307,2,+0.66%,0
10/15/2024,305,305,305,305,2,+0.66%,0
10/14/2024,303,303,303,303,1,+0.33%,0
10/11/2024,302,302,302,302,0,0.00%,0
10/10/2024,302,302,302,302,2,+0.67%,0
10/09/2024,300,300,300,300,2,+0.67%,0
10/08/2024,298,298,298,298,1,+0.34%,0
10/07/2024,297,297,297,297,1,+0.34%,0
10/04/2024,296,296,296,296,1,+0.34%,0
10/03/2024,295,295,295,295,0,0.00%,0
