Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,190,190,190,190,0.8,+0.42%,0,0
12/05/2024,189.2,189.2,189.2,189.2,0,0.00%,0,0
12/04/2024,189.2,189.2,189.2,189.2,0,0.00%,0,0
12/03/2024,189.2,189.2,189.2,189.2,0,0.00%,0,0
12/02/2024,189.2,189.2,189.2,189.2,0,0.00%,0,0
11/29/2024,189.2,189.2,189.2,189.2,3.2,+1.72%,0,0
11/27/2024,186,186,186,186,0,0.00%,0,0
11/26/2024,186,186,186,186,0,0.00%,0,0
11/25/2024,186,186,186,186,0,0.00%,0,0
11/22/2024,186,186,186,186,-4.,-2.11%,0,0
11/21/2024,190,190,190,190,0,0.00%,0,0
11/20/2024,190,190,190,190,0,0.00%,0,0
11/19/2024,190,190,190,190,0,0.00%,0,0
11/18/2024,190,190,190,190,0,0.00%,0,0
11/15/2024,190,190,190,190,0,0.00%,0,0
11/14/2024,190,190,190,190,0,0.00%,0,0
11/13/2024,190,190,190,190,0,0.00%,0,0
11/12/2024,190,190,190,190,0,0.00%,0,0
11/11/2024,190,190,190,190,0,0.00%,0,0
11/08/2024,190,190,190,190,0,0.00%,0,0
11/07/2024,190,190,190,190,0,0.00%,0,0
11/06/2024,190,190,190,190,0,0.00%,0,0
11/05/2024,190,190,190,190,0,0.00%,0,0
11/04/2024,190,190,190,190,0,0.00%,0,0
11/01/2024,190,190,190,190,0,0.00%,0,0
10/31/2024,190,190,190,190,-0.05,-0.03%,0,0
10/30/2024,190.05,190.05,190.05,190.05,0,0.00%,0,0
10/29/2024,190.05,190.05,190.05,190.05,0,0.00%,0,0
10/28/2024,190.05,190.05,190.05,190.05,0,0.00%,0,0
10/25/2024,190.05,190.05,190.05,190.05,5.05,+2.73%,0,0
10/24/2024,185,185,185,185,0,0.00%,0,0
10/23/2024,185,185,185,185,0,0.00%,0,0
10/22/2024,185,185,185,185,0,0.00%,0,0
10/21/2024,185,185,185,185,-2.,-1.07%,0,0
10/18/2024,187,187,187,187,2,+1.08%,0,0
10/17/2024,185,185,185,185,0,0.00%,0,0
10/16/2024,185,185,185,185,0,0.00%,0,0
10/15/2024,185,185,185,185,0,0.00%,0,0
10/14/2024,185,185,185,185,0,0.00%,0,0
10/11/2024,185,185,185,185,0,0.00%,0,0
10/10/2024,185,185,185,185,0,0.00%,0,0
10/09/2024,185,185,185,185,0,0.00%,0,0
10/08/2024,185,185,185,185,0,0.00%,0,0
10/07/2024,185,185,185,185,0,0.00%,0,0
10/04/2024,185,185,185,185,0,0.00%,0,0
10/03/2024,185,185,185,185,0,0.00%,0,0
10/02/2024,185,185,185,185,0,0.00%,0,0
10/01/2024,185,185,185,185,0,0.00%,0,0
09/30/2024,185,185,185,185,0,0.00%,0,0
09/27/2024,185,185,185,185,2,+1.09%,0,0
09/26/2024,183,183,183,183,0,0.00%,0,0
09/25/2024,183,183,183,183,0,0.00%,0,0
09/24/2024,183,183,183,183,0,0.00%,0,0
09/23/2024,183,183,183,183,3,+1.67%,0,0
09/20/2024,180,180,180,180,0,0.00%,0,0
09/19/2024,180,180,180,180,0,0.00%,0,0
09/18/2024,180,180,180,180,0,0.00%,0,0
09/17/2024,180,180,180,180,0,0.00%,0,0
09/16/2024,180,180,180,180,0,0.00%,0,0
09/13/2024,180,180,180,180,0,0.00%,0,0
09/12/2024,180,180,180,180,1,+0.56%,0,0
09/11/2024,179,179,179,179,0,0.00%,0,0
09/10/2024,179,179,179,179,0,0.00%,0,0
09/09/2024,179,179,179,179,0,0.00%,0,0
09/06/2024,179,179,179,179,-4.,-2.19%,0,0
09/05/2024,183,183,183,183,0,0.00%,0,0
09/04/2024,183,183,183,183,0,0.00%,0,0
09/03/2024,183,183,183,183,0,0.00%,0,0
08/30/2024,183,183,183,183,-3.,-1.61%,0,0
08/29/2024,186,186,186,186,0,0.00%,0,0
08/28/2024,186,186,186,186,0,0.00%,0,0
