Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,439,439,439,439,5,+1.15%,0,0
12/05/2024,434,434,434,434,9,+2.12%,0,0
12/04/2024,425,425,425,425,-1.75,-0.41%,0,0
12/03/2024,426.75,426.75,426.75,426.75,-0.75,-0.18%,0,0
12/02/2024,427.5,427.5,427.5,427.5,-3.,-0.70%,0,0
11/29/2024,430.5,430.5,430.5,430.5,13.75,+3.30%,0,0
11/27/2024,416.75,416.75,416.75,416.75,-4.25,-1.01%,0,0
11/26/2024,421,421,421,421,-4.75,-1.12%,0,0
11/25/2024,425.75,425.75,425.75,425.75,-0.75,-0.18%,0,0
11/22/2024,426.5,426.5,426.5,426.5,-1.25,-0.29%,0,0
11/21/2024,427.75,427.75,427.75,427.75,-3.5,-0.81%,0,0
11/20/2024,431.25,431.25,431.25,431.25,5.5,+1.29%,0,0
11/19/2024,425.75,425.75,425.75,425.75,-2.,-0.47%,0,0
11/18/2024,427.75,427.75,427.75,427.75,5.25,+1.24%,0,0
11/15/2024,422.5,422.5,422.5,422.5,5,+1.20%,0,0
11/14/2024,417.5,417.5,417.5,417.5,-7.5,-1.76%,0,0
11/13/2024,425,425,425,425,-2.,-0.47%,0,0
11/12/2024,427,427,427,427,1.5,+0.35%,0,0
11/11/2024,425.5,425.5,425.5,425.5,-1.,-0.23%,0,0
11/08/2024,426.5,426.5,426.5,426.5,3.5,+0.83%,0,0
11/07/2024,423,423,423,423,10.25,+2.48%,0,0
11/06/2024,412.75,412.75,412.75,412.75,7.75,+1.91%,0,0
11/05/2024,405,405,405,405,2,+0.50%,0,0
11/04/2024,403,403,403,403,2,+0.50%,0,0
11/01/2024,401,401,401,401,3.75,+0.94%,0,0
10/31/2024,397.25,397.25,397.25,397.25,-0.75,-0.19%,0,0
10/30/2024,398,398,398,398,-2.25,-0.56%,0,0
10/29/2024,400.25,400.25,400.25,400.25,3,+0.76%,0,0
10/28/2024,397.25,397.25,397.25,397.25,-5.5,-1.37%,0,0
10/25/2024,402.75,402.75,402.75,402.75,-6.25,-1.53%,0,0
10/24/2024,409,409,409,409,2.5,+0.62%,0,0
10/23/2024,406.5,406.5,406.5,406.5,-2.5,-0.61%,0,0
10/22/2024,409,409,409,409,4.5,+1.11%,0,0
10/21/2024,404.5,404.5,404.5,404.5,5.75,+1.44%,0,0
10/18/2024,398.75,398.75,398.75,398.75,-2.,-0.50%,0,0
10/17/2024,400.75,400.75,400.75,400.75,1,+0.25%,0,0
10/16/2024,399.75,399.75,399.75,399.75,4.5,+1.14%,0,0
10/15/2024,395.25,395.25,395.25,395.25,-14.5,-3.54%,0,0
10/14/2024,409.75,409.75,409.75,409.75,0,0.00%,0,0
10/11/2024,409.75,409.75,409.75,409.75,-0.25,-0.06%,0,0
10/10/2024,410,410,410,410,-2.5,-0.61%,0,0
10/09/2024,412.5,412.5,412.5,412.5,2.75,+0.67%,0,0
10/08/2024,409.75,409.75,409.75,409.75,-5.25,-1.27%,0,0
10/07/2024,415,415,415,415,1.25,+0.30%,0,0
10/04/2024,413.75,413.75,413.75,413.75,-3.5,-0.84%,0,0
10/03/2024,417.25,417.25,417.25,417.25,-4.25,-1.01%,0,0
10/02/2024,421.5,421.5,421.5,421.5,3.5,+0.84%,0,0
10/01/2024,418,418,418,418,4.25,+1.03%,0,0
09/30/2024,413.75,413.75,413.75,413.75,6.75,+1.66%,0,0
09/27/2024,407,407,407,407,4.75,+1.18%,0,0
09/26/2024,402.25,402.25,402.25,402.25,-2.,-0.49%,0,0
09/25/2024,404.25,404.25,404.25,404.25,6,+1.51%,0,0
09/24/2024,398.25,398.25,398.25,398.25,-1.75,-0.44%,0,0
09/23/2024,400,400,400,400,11.75,+3.03%,0,0
09/20/2024,388.25,388.25,388.25,388.25,-4.,-1.02%,0,0
09/19/2024,392.25,392.25,392.25,392.25,-7.,-1.75%,0,0
09/18/2024,399.25,399.25,399.25,399.25,-4.75,-1.18%,0,0
09/17/2024,404,404,404,404,1.75,+0.44%,0,0
09/16/2024,402.25,402.25,402.25,402.25,-2.5,-0.62%,0,0
09/13/2024,404.75,404.75,404.75,404.75,7.25,+1.82%,0,0
09/12/2024,397.5,397.5,397.5,397.5,-3.75,-0.93%,0,0
09/11/2024,401.25,401.25,401.25,401.25,0.5,+0.12%,0,0
09/10/2024,400.75,400.75,400.75,400.75,-3.,-0.74%,0,0
09/09/2024,403.75,403.75,403.75,403.75,3.5,+0.87%,0,0
09/06/2024,400.25,400.25,400.25,400.25,-4.5,-1.11%,0,0
09/05/2024,404.75,404.75,404.75,404.75,-6.,-1.46%,0,0
09/04/2024,410.75,410.75,410.75,410.75,12.5,+3.14%,0,0
09/03/2024,398.25,398.25,398.25,398.25,17.75,+4.66%,0,0
08/30/2024,380.5,380.5,380.5,380.5,4.75,+1.26%,0,0
08/29/2024,375.75,375.75,375.75,375.75,6.5,+1.76%,0,0
08/28/2024,369.25,369.25,369.25,369.25,-2.,-0.54%,0,0
08/27/2024,371.25,371.25,371.25,371.25,4.25,+1.16%,0,0
08/26/2024,367,367,367,367,0.25,+0.07%,0,0
08/23/2024,366.75,366.75,366.75,366.75,-3.75,-1.01%,0,0
08/22/2024,370.5,370.5,370.5,370.5,-4.,-1.07%,0,0
08/21/2024,374.5,374.5,374.5,374.5,-2.,-0.53%,0,0
08/20/2024,376.5,376.5,376.5,376.5,-1.,-0.26%,0,0
08/19/2024,377.5,377.5,377.5,377.5,7.5,+2.03%,0,0
08/16/2024,370,370,370,370,-3.5,-0.94%,0,0
08/15/2024,373.5,373.5,373.5,373.5,-11.,-2.86%,0,0
08/14/2024,384.5,384.5,384.5,384.5,3.25,+0.85%,0,0
08/13/2024,381.25,381.25,381.25,381.25,-5.5,-1.42%,0,0
08/12/2024,386.75,386.75,386.75,386.75,6.5,+1.71%,0,0
08/09/2024,380.25,380.25,380.25,380.25,-2.5,-0.65%,0,0
