Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,67.2,67.2,67.2,67.2,-1.13,-1.65%,0,0
12/05/2024,68.33,68.33,68.33,68.33,-0.23,-0.34%,0,0
12/04/2024,68.56,68.56,68.56,68.56,-1.34,-1.92%,0,0
12/03/2024,69.9,69.9,69.9,69.9,1.8,+2.64%,0,0
12/02/2024,68.1,68.1,68.1,68.1,0.08,+0.12%,0,0
11/29/2024,68.02,68.02,68.02,68.02,-0.76,-1.10%,0,0
11/27/2024,68.78,68.78,68.78,68.78,-0.02,-0.03%,0,0
11/26/2024,68.8,68.8,68.8,68.8,-0.16,-0.23%,0,0
11/25/2024,68.96,68.96,68.96,68.96,-2.27,-3.19%,0,0
11/22/2024,71.23,71.23,71.23,71.23,1.14,+1.63%,0,0
11/21/2024,70.09,70.09,70.09,70.09,1.35,+1.96%,0,0
11/20/2024,68.74,68.74,68.74,68.74,-0.7,-1.01%,0,0
11/19/2024,69.44,69.44,69.44,69.44,0.28,+0.40%,0,0
11/18/2024,69.16,69.16,69.16,69.16,2.13,+3.18%,0,0
11/15/2024,67.03,67.03,67.03,67.03,-1.65,-2.40%,0,0
11/14/2024,68.68,68.68,68.68,68.68,0.22,+0.32%,0,0
11/13/2024,68.46,68.46,68.46,68.46,0.33,+0.48%,0,0
11/12/2024,68.13,68.13,68.13,68.13,0.06,+0.09%,0,0
11/11/2024,68.07,68.07,68.07,68.07,-2.32,-3.30%,0,0
11/08/2024,70.39,70.39,70.39,70.39,-2.,-2.76%,0,0
11/07/2024,72.39,72.39,72.39,72.39,0.69,+0.96%,0,0
11/06/2024,71.7,71.7,71.7,71.7,-0.26,-0.36%,0,0
11/05/2024,71.96,71.96,71.96,71.96,0.44,+0.62%,0,0
11/04/2024,71.52,71.52,71.52,71.52,2,+2.88%,0,0
11/01/2024,69.52,69.52,69.52,69.52,0.23,+0.33%,0,0
10/31/2024,69.29,69.29,69.29,69.29,0.68,+0.99%,0,0
10/30/2024,68.61,68.61,68.61,68.61,1.44,+2.14%,0,0
10/29/2024,67.17,67.17,67.17,67.17,-0.18,-0.27%,0,0
10/28/2024,67.35,67.35,67.35,67.35,-4.42,-6.16%,0,0
10/25/2024,71.77,71.77,71.77,71.77,1.59,+2.27%,0,0
10/24/2024,70.18,70.18,70.18,70.18,-0.58,-0.82%,0,0
10/23/2024,70.76,70.76,70.76,70.76,-0.97,-1.35%,0,0
10/22/2024,71.73,71.73,71.73,71.73,1.17,+1.66%,0,0
10/21/2024,70.56,70.56,70.56,70.56,1.4,+2.02%,0,0
10/18/2024,69.16,69.16,69.16,69.16,-1.5,-2.12%,0,0
10/17/2024,70.66,70.66,70.66,70.66,0.29,+0.41%,0,0
10/16/2024,70.37,70.37,70.37,70.37,-0.25,-0.35%,0,0
10/15/2024,70.62,70.62,70.62,70.62,-3.23,-4.37%,0,0
10/14/2024,73.85,73.85,73.85,73.85,-1.66,-2.20%,0,0
10/11/2024,75.51,75.51,75.51,75.51,-0.33,-0.44%,0,0
10/10/2024,75.84,75.84,75.84,75.84,2.6,+3.55%,0,0
10/09/2024,73.24,73.24,73.24,73.24,-0.43,-0.58%,0,0
10/08/2024,73.67,73.67,73.67,73.67,-3.48,-4.51%,0,0
10/07/2024,77.15,77.15,77.15,77.15,2.82,+3.79%,0,0
10/04/2024,74.33,74.33,74.33,74.33,0.6,+0.81%,0,0
10/03/2024,73.73,73.73,73.73,73.73,3.59,+5.12%,0,0
10/02/2024,70.14,70.14,70.14,70.14,0.33,+0.47%,0,0
10/01/2024,69.81,69.81,69.81,69.81,1.67,+2.45%,0,0
09/30/2024,68.14,68.14,68.14,68.14,0.01,+0.01%,0,0
09/27/2024,68.13,68.13,68.13,68.13,0.46,+0.68%,0,0
09/26/2024,67.67,67.67,67.67,67.67,-2.,-2.87%,0,0
09/25/2024,69.67,69.67,69.67,69.67,-1.91,-2.67%,0,0
09/24/2024,71.58,71.58,71.58,71.58,1.21,+1.72%,0,0
09/23/2024,70.37,70.37,70.37,70.37,-0.65,-0.92%,0,0
09/20/2024,71.02,71.02,71.02,71.02,-0.89,-1.24%,0,0
09/19/2024,71.91,71.91,71.91,71.91,1.01,+1.42%,0,0
09/18/2024,70.9,70.9,70.9,70.9,-0.31,-0.44%,0,0
09/17/2024,71.21,71.21,71.21,71.21,1.07,+1.53%,0,0
09/16/2024,70.14,70.14,70.14,70.14,1.49,+2.17%,0,0
09/13/2024,68.65,68.65,68.65,68.65,-0.29,-0.42%,0,0
09/12/2024,68.94,68.94,68.94,68.94,1.65,+2.45%,0,0
09/11/2024,67.29,67.29,67.29,67.29,1.5,+2.28%,0,0
09/10/2024,65.79,65.79,65.79,65.79,-2.91,-4.24%,0,0
09/09/2024,68.7,68.7,68.7,68.7,1.07,+1.58%,0,0
09/06/2024,67.63,67.63,67.63,67.63,-1.51,-2.18%,0,0
09/05/2024,69.14,69.14,69.14,69.14,-0.02,-0.03%,0,0
09/04/2024,69.16,69.16,69.16,69.16,-1.18,-1.68%,0,0
09/03/2024,70.34,70.34,70.34,70.34,-3.23,-4.39%,0,0
08/30/2024,73.57,73.57,73.57,73.57,-2.38,-3.13%,0,0
08/29/2024,75.95,75.95,75.95,75.95,1.41,+1.89%,0,0
08/28/2024,74.54,74.54,74.54,74.54,-1.01,-1.34%,0,0
08/27/2024,75.55,75.55,75.55,75.55,-1.9,-2.45%,0,0
08/26/2024,77.45,77.45,77.45,77.45,2.64,+3.53%,0,0
08/23/2024,74.81,74.81,74.81,74.81,1.79,+2.45%,0,0
08/22/2024,73.02,73.02,73.02,73.02,1.12,+1.56%,0,0
08/21/2024,71.9,71.9,71.9,71.9,-1.29,-1.76%,0,0
08/20/2024,73.19,73.19,73.19,73.19,-1.19,-1.60%,0,0
08/19/2024,74.38,74.38,74.38,74.38,-2.23,-2.91%,0,0
08/16/2024,76.61,76.61,76.61,76.61,-1.6,-2.05%,0,0
08/15/2024,78.21,78.21,78.21,78.21,1.2,+1.56%,0,0
08/14/2024,77.01,77.01,77.01,77.01,-1.36,-1.74%,0,0
08/13/2024,78.37,78.37,78.37,78.37,-1.64,-2.05%,0,0
