Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,187.5,187.65,187.075,187.375,0.4,+0.21%,5814,0
12/05/2024,188.375,188.475,186.9,186.975,-1.4,-0.74%,12182,25973
12/04/2024,188.525,188.7,188.075,188.375,-0.1,-0.05%,10176,28018
12/03/2024,187.9,188.775,187.8,188.475,0.95,+0.51%,13455,31552
12/02/2024,188,188.8,187.125,187.525,-0.45,-0.24%,13271,34357
11/29/2024,188.25,188.575,187.825,187.975,-0.025,-0.01%,5486,37730
11/27/2024,187.125,188.75,186.875,188,1.1,+0.59%,12462,39335
11/26/2024,186.825,187.6,186.4,186.9,0.4,+0.21%,7994,43118
11/25/2024,187.225,188.45,186.375,186.5,-0.275,-0.15%,11222,44870
11/22/2024,186.2,187.3,185.85,186.775,1.175,+0.63%,12060,47303
11/21/2024,186.3,186.5,185.45,185.6,-0.7,-0.38%,8349,49769
11/20/2024,186.575,186.925,186.025,186.3,-0.275,-0.15%,10040,52123
11/19/2024,184.225,186.625,183.875,186.575,2.475,+1.34%,21427,54949
11/18/2024,183.05,184.3,182.95,184.1,1.15,+0.63%,21440,61063
11/15/2024,182.675,184.1,182.6,182.95,0,0.00%,25799,65729
11/14/2024,183.55,183.975,182.675,182.95,-1.075,-0.58%,32688,70199
11/13/2024,184.625,184.625,183.825,184.025,-0.375,-0.20%,42948,78995
11/12/2024,184,184.875,183.325,184.4,0.7,+0.38%,35688,94485
11/11/2024,183.825,184.25,182.8,183.7,0,0.00%,29167,104792
11/08/2024,184.75,184.825,183.45,183.7,-2.125,-1.14%,40827,112816
11/07/2024,185.5,186.425,185.275,185.825,0.425,+0.23%,26961,122529
11/06/2024,185.55,186.6,184.825,185.4,0.625,+0.34%,24308,129989
11/05/2024,185.3,185.625,184.75,184.775,-0.3,-0.16%,16751,133017
11/04/2024,186,186.05,184.575,185.075,-0.85,-0.46%,21759,135206
11/01/2024,186.175,186.6,184.45,185.925,-0.375,-0.20%,35341,138552
10/31/2024,186.5,187.15,185.85,186.3,-0.125,-0.07%,29414,139563
10/30/2024,187.9,187.925,185.475,186.425,-1.525,-0.81%,32797,140008
10/29/2024,189.4,189.8,187.775,187.95,-1.325,-0.70%,24217,142984
10/28/2024,188.725,189.425,188.45,189.275,0.125,+0.07%,19690,143013
10/25/2024,189.25,189.5,188.625,189.15,-0.1,-0.05%,24721,142481
10/24/2024,188,189.325,187.6,189.25,1.375,+0.73%,33415,141232
10/23/2024,187.45,188.975,187.125,187.875,-0.25,-0.13%,25830,141397
10/22/2024,187,188.475,187,188.125,1.3,+0.70%,21429,140170
10/21/2024,187.325,187.475,186.525,186.825,-0.5,-0.27%,15891,139364
10/18/2024,186.325,187.675,186.25,187.325,1.15,+0.62%,17528,139917
10/17/2024,186.75,187.325,185.2,186.175,-0.425,-0.23%,24537,138152
10/16/2024,186.75,187.4,186.125,186.6,0.075,+0.04%,21049,138239
10/15/2024,187.75,187.8,185.55,186.525,-1.4,-0.74%,24378,138117
10/14/2024,187.2,188.25,187.15,187.925,0.35,+0.19%,18070,138893
10/11/2024,188.225,188.55,187.4,187.575,-0.7,-0.37%,18552,136922
10/10/2024,187,188.475,186.4,188.275,1.05,+0.56%,25313,138052
10/09/2024,187.8,188.1,186.6,187.225,-0.65,-0.35%,20310,138084
10/08/2024,186.8,187.975,186.725,187.875,0.85,+0.45%,24085,138428
10/07/2024,187,187.55,186.55,187.025,0.025,+0.01%,27195,138358
10/04/2024,186.5,187.35,186.1,187,0.6,+0.32%,19182,139490
10/03/2024,187.45,187.9,186.075,186.4,-1.3,-0.69%,28391,139347
10/02/2024,185.025,187.75,185.025,187.7,2.525,+1.36%,33478,139506
10/01/2024,184.8,186.075,184.15,185.175,0.375,+0.20%,25628,139518
09/30/2024,184.125,185.2,183.975,184.8,0.325,+0.18%,17216,137300
09/27/2024,184.925,185.6,184.3,184.475,-0.35,-0.19%,18294,136123
09/26/2024,183.4,185.125,183,184.825,0.5,+0.27%,24396,135053
09/25/2024,184.15,184.55,183.725,184.325,-0.075,-0.04%,16373,134730
09/24/2024,183.7,184.925,183.325,184.4,0.575,+0.31%,25406,132286
09/23/2024,183.4,184.475,182.825,183.825,0.625,+0.34%,28159,128059
09/20/2024,180.85,183.45,180,183.2,2.075,+1.15%,30396,127598
09/19/2024,180.5,182,179.8,181.125,1.275,+0.71%,24449,124549
09/18/2024,179.85,180.325,179.575,179.85,0,0.00%,22330,120025
09/17/2024,178.65,180.5,178.25,179.85,1.5,+0.84%,22882,116539
09/16/2024,178.9,179.375,177.75,178.35,-0.15,-0.08%,25254,112667
09/13/2024,178.525,179.425,177.825,178.5,-0.1,-0.06%,35783,108581
09/12/2024,177.45,179.1,177.45,178.6,1.375,+0.78%,33636,99000
09/11/2024,176.4,177.575,175.725,177.225,0.8,+0.45%,21615,90231
09/10/2024,176.8,177.575,175.925,176.425,-0.375,-0.21%,24993,86176
09/09/2024,175,177.45,173.5,176.8,2.1,+1.20%,26244,80755
09/06/2024,176.7,177.5,174.525,174.7,-2.025,-1.15%,15951,76726
09/05/2024,178.5,178.7,176.3,176.725,-2.175,-1.22%,14766,76030
09/04/2024,178.925,179.5,178.175,178.9,0.05,+0.03%,14723,74908
09/03/2024,177.55,179.25,177.35,178.85,1.3,+0.73%,16496,74220
08/30/2024,176.7,178.5,176.7,177.55,0.85,+0.48%,15165,73527
