Time,Open,High,Low,Last,Change,%Chg,Volume
12/06/2024,105.79,106.16,105.42,105.97,0.26,+0.25%,0
12/05/2024,106.34,106.37,105.7,105.71,-0.61,-0.57%,0
12/04/2024,106.43,106.72,106.09,106.32,-0.04,-0.04%,0
12/03/2024,106.48,106.6,106.09,106.36,-0.09,-0.08%,0
12/02/2024,105.83,106.73,105.82,106.45,0.67,+0.63%,0
11/29/2024,105.94,106.12,105.61,105.78,-0.37,-0.35%,0
11/28/2024,106.16,106.41,106.04,106.15,0.13,+0.12%,0
11/27/2024,106.82,106.92,105.85,106.02,-0.85,-0.80%,0
11/26/2024,107.48,107.5,106.49,106.87,0.04,+0.04%,0
11/25/2024,107.03,107.24,106.58,106.83,-0.66,-0.61%,0
11/22/2024,107.05,108.07,106.92,107.49,0.46,+0.43%,0
11/21/2024,106.59,107.15,106.46,107.03,0.4,+0.38%,0
11/20/2024,106.12,106.91,106.11,106.63,0.48,+0.45%,0
11/19/2024,106.25,106.63,106.11,106.15,-0.13,-0.12%,0
11/18/2024,106.73,106.81,106.13,106.28,-0.39,-0.37%,0
11/15/2024,106.9,106.96,106.33,106.67,0,0.00%,0
11/14/2024,106.5,107.06,106.38,106.67,0.19,+0.18%,0
11/13/2024,106.02,106.54,105.72,106.48,0.46,+0.43%,0
11/12/2024,105.49,106.18,105.49,106.02,0.48,+0.45%,0
11/11/2024,105.01,105.71,104.93,105.54,0.59,+0.56%,0
11/08/2024,104.45,105.21,104.34,104.95,0.44,+0.42%,0
11/07/2024,105.15,105.25,104.19,104.51,-0.58,-0.55%,0
11/06/2024,103.7,105.44,103.7,105.09,1.67,+1.61%,0
11/05/2024,103.91,103.96,103.37,103.42,-0.47,-0.45%,0
11/04/2024,103.93,103.97,103.58,103.89,-0.43,-0.41%,0
11/01/2024,103.89,104.35,103.68,104.32,0.34,+0.33%,0
10/31/2024,104.1,104.22,103.82,103.98,-0.01,-0.01%,0
10/30/2024,104.25,104.44,103.98,103.99,-0.33,-0.32%,0
10/29/2024,104.26,104.64,104.21,104.32,0,0.00%,0
10/28/2024,104.38,104.57,104.12,104.32,0,0.00%,0
10/25/2024,104.04,104.34,103.93,104.32,0.26,+0.25%,0
10/24/2024,104.44,104.46,104.01,104.06,-0.37,-0.35%,0
10/23/2024,104.1,104.57,104.09,104.43,0.36,+0.35%,0
10/22/2024,103.96,104.13,103.82,104.07,0.06,+0.06%,0
10/21/2024,103.97,104.02,103.42,104.01,0.55,+0.53%,0
