Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,186.7,187,186,186.175,-0.15,-0.08%,22045,0
12/05/2024,188.325,188.475,186.2,186.325,-2.,-1.06%,28151,149263
12/04/2024,189.075,189.375,188.025,188.325,-0.75,-0.40%,21127,151623
12/03/2024,188.1,189.575,188.075,189.075,1.15,+0.61%,28989,149895
12/02/2024,188.625,189.375,187.025,187.925,-0.7,-0.37%,29645,147588
11/29/2024,188.8,189.15,188.425,188.625,0.025,+0.01%,13421,148684
11/27/2024,187.775,189.275,187.475,188.6,0.9,+0.48%,22135,148793
11/26/2024,187.8,188.65,187,187.7,0,0.00%,18736,148008
11/25/2024,188.775,190.05,187.575,187.7,-0.5,-0.27%,27518,148746
11/22/2024,187.825,189.05,187.375,188.2,0.775,+0.41%,22784,146955
11/21/2024,187.75,188.05,187.05,187.425,-0.5,-0.27%,18849,143184
11/20/2024,187.8,188.55,187.675,187.925,-0.075,-0.04%,22577,140679
11/19/2024,186.025,188.075,185.5,188,2.025,+1.09%,27599,138017
11/18/2024,185.25,186.325,185.05,185.975,0.725,+0.39%,26288,136437
11/15/2024,184.8,186.5,184.65,185.25,0.15,+0.08%,31564,132389
11/14/2024,185.275,186.05,184.775,185.1,-0.975,-0.52%,33752,129279
11/13/2024,186.225,186.55,185.8,186.075,-0.05,-0.03%,43588,125383
11/12/2024,185.6,186.525,184.775,186.125,0.75,+0.40%,31353,112054
11/11/2024,185.325,185.825,184.4,185.375,0.075,+0.04%,24682,107110
11/08/2024,186.425,186.55,185.125,185.3,-2.125,-1.13%,30816,105723
11/07/2024,186.775,187.6,186.425,187.425,0.7,+0.37%,26569,101329
11/06/2024,186.5,187.5,186.2,186.725,0.775,+0.42%,17444,97285
11/05/2024,186.1,186.5,185.625,185.95,0.025,+0.01%,13541,96824
11/04/2024,186.725,186.975,185.5,185.925,-0.975,-0.52%,14145,94780
11/01/2024,186.65,187.25,185.1,186.9,0.125,+0.07%,19593,94013
10/31/2024,187.25,187.4,186.25,186.775,-0.275,-0.15%,18716,93225
10/30/2024,188.5,188.5,186.3,187.05,-1.575,-0.83%,16631,91656
10/29/2024,190,190.325,188.45,188.625,-1.475,-0.78%,15290,90821
10/28/2024,189.35,190.15,189.35,190.1,0.175,+0.09%,11871,88040
10/25/2024,189.75,190.25,189.325,189.925,-0.025,-0.01%,12498,85652
10/24/2024,188.7,190,188.7,189.95,1.325,+0.70%,19589,83673
10/23/2024,188.225,189.425,187.9,188.625,-0.2,-0.11%,10785,79436
10/22/2024,187.675,189.025,187.675,188.825,1.2,+0.64%,10323,77553
10/21/2024,188.125,188.225,187.375,187.625,-0.5,-0.27%,7322,76219
10/18/2024,187.15,188.575,187.1,188.125,1.15,+0.62%,7355,75847
10/17/2024,187.2,187.8,186.025,186.975,0,0.00%,10066,74658
10/16/2024,187.475,188.1,186.65,186.975,-0.425,-0.23%,9008,73801
10/15/2024,188.275,188.575,186.575,187.4,-1.3,-0.69%,10773,73457
10/14/2024,187.875,188.925,187.875,188.7,0.5,+0.27%,7215,72198
10/11/2024,188.775,189.075,187.975,188.2,-0.675,-0.36%,9537,71085
10/10/2024,187.875,189.1,187.3,188.875,0.7,+0.37%,13659,70304
10/09/2024,188.85,189.025,187.425,188.175,-0.775,-0.41%,9394,69138
10/08/2024,188,189,187.925,188.95,0.65,+0.35%,10189,68907
10/07/2024,187.925,188.475,187.575,188.3,0.35,+0.19%,12059,68235
10/04/2024,187.875,188.325,187.15,187.95,0.2,+0.11%,10091,68002
10/03/2024,188.05,188.5,186.975,187.75,-0.65,-0.35%,10408,67923
10/02/2024,185.9,188.425,185.9,188.4,2.225,+1.20%,12553,66399
10/01/2024,185.8,186.95,185.15,186.175,0.325,+0.17%,9642,65184
09/30/2024,185.25,186.225,185.075,185.85,0.3,+0.16%,6331,64273
09/27/2024,185.8,186.4,185.175,185.55,-0.1,-0.05%,7932,63296
09/26/2024,184.75,186,184.05,185.65,0.15,+0.08%,14146,62877
09/25/2024,185.225,185.6,184.825,185.5,0.075,+0.04%,7656,63313
09/24/2024,184.6,185.95,184.25,185.425,0.575,+0.31%,12027,62289
09/23/2024,183.85,185.4,183.85,184.85,1.075,+0.58%,13675,61323
09/20/2024,182.05,184.125,181.35,183.775,1.425,+0.78%,11382,60554
09/19/2024,181.5,183.15,181.05,182.35,1.275,+0.70%,10857,60167
09/18/2024,181,181.475,180.525,181.075,0.075,+0.04%,10556,59590
09/17/2024,179.775,181.25,179.45,181,1.525,+0.85%,11252,59700
09/16/2024,180.05,180.375,178.825,179.475,-0.125,-0.07%,9911,57856
09/13/2024,180,180.525,178.85,179.6,0,0.00%,12406,56715
09/12/2024,178.4,180.075,178.375,179.6,1.275,+0.71%,12175,55369
09/11/2024,177.5,178.7,176.7,178.325,0.8,+0.45%,8845,54990
09/10/2024,177.75,178.55,177.05,177.525,-0.225,-0.13%,10243,54288
09/09/2024,175.725,178.3,174.3,177.75,2.35,+1.34%,10383,54354
09/06/2024,177.325,178.35,175.225,175.4,-1.925,-1.09%,8983,54497
09/05/2024,179,179.25,177,177.325,-2.175,-1.21%,9057,54527
09/04/2024,179.575,180.125,179.025,179.5,-0.075,-0.04%,8429,53489
09/03/2024,178.45,179.9,178.3,179.575,1.125,+0.63%,8567,53276
08/30/2024,177.375,179.1,177.375,178.45,1.05,+0.59%,7832,53014
08/29/2024,178.575,178.575,177.15,177.4,-1.575,-0.88%,8141,52700
08/28/2024,178.85,179.6,178.075,178.975,-0.525,-0.29%,8462,52191
08/27/2024,177.275,179.725,177.2,179.5,2.175,+1.23%,8517,51995
08/26/2024,175.7,178.4,175.625,177.325,0.85,+0.48%,8135,51467
08/23/2024,176.65,177.575,176.275,176.475,-0.175,-0.10%,6091,50775
08/22/2024,175.35,177.6,175.1,176.65,1.3,+0.74%,8845,50538
08/21/2024,175.65,176.175,174.125,175.35,-0.575,-0.33%,7499,50515
08/20/2024,179,179.25,175.375,175.925,-3.4,-1.90%,8579,50367
08/19/2024,178.5,179.975,178.375,179.325,0.2,+0.11%,5487,50512
08/16/2024,181.5,181.875,177.4,179.125,-2.625,-1.44%,9836,50047
08/15/2024,182.225,182.75,181.3,181.75,-0.5,-0.27%,6644,49342
08/14/2024,181.35,182.75,181.025,182.25,0.9,+0.50%,7346,48669
08/13/2024,180,181.575,179.325,181.35,1.675,+0.93%,9576,48372
08/12/2024,180.075,180.4,179.25,179.675,-0.375,-0.21%,7041,47507
08/09/2024,177.675,180.125,177.1,180.05,2.425,+1.37%,11739,46842
08/08/2024,179.125,179.175,177.225,177.625,-1.25,-0.70%,8303,46162
08/07/2024,179.775,180.55,178.575,178.875,0.15,+0.08%,10998,44557
08/06/2024,179.5,180.35,177.825,178.725,-0.375,-0.21%,11100,43002
08/05/2024,179.1,180.975,177.475,179.1,-4.225,-2.30%,13358,42577
08/02/2024,185.5,185.5,180.55,183.325,-2.5,-1.35%,16172,43048
08/01/2024,188.6,188.675,185.225,185.825,-3.025,-1.60%,10252,44435
07/31/2024,188.625,189,187.825,188.85,-0.225,-0.12%,6068,42750
07/30/2024,188.775,189.225,187.975,189.075,0.45,+0.24%,5687,41957
07/29/2024,189.825,190.25,187.9,188.625,-1.3,-0.68%,9414,41497
07/26/2024,189.675,190,189.225,189.925,0.25,+0.13%,8665,39836
07/25/2024,188.6,189.95,188.275,189.675,1.075,+0.57%,10134,38662
07/24/2024,188.95,189.5,187.8,188.6,-0.5,-0.26%,6134,37271
07/23/2024,187.7,189.225,187.65,189.1,1.2,+0.64%,5737,36354
07/22/2024,187.525,188.575,187.3,187.9,1.25,+0.67%,5760,35910
07/19/2024,187.3,187.325,186.325,186.65,-0.525,-0.28%,5284,34892
07/18/2024,189,189.625,186.925,187.175,-2.225,-1.17%,4361,33982
07/17/2024,188.6,189.5,187.675,189.4,0.725,+0.38%,5143,33544
07/16/2024,188,188.725,187.5,188.675,0.7,+0.37%,5676,32821
07/15/2024,187.75,188.75,187.325,187.975,0.225,+0.12%,6151,31463
07/12/2024,186.625,188.025,185.975,187.75,0.8,+0.43%,6456,30620
07/11/2024,187.1,187.475,186.575,186.95,0.4,+0.21%,5344,30305
07/10/2024,187.125,187.175,185.675,186.55,-0.575,-0.31%,6283,29474
07/09/2024,188.7,189.5,185.3,187.125,-1.525,-0.81%,8180,28175
07/08/2024,190,190.375,187.675,188.65,-1.35,-0.71%,6324,26776
07/05/2024,190.15,191.35,189.75,190,-0.3,-0.16%,5871,25291
07/03/2024,189.15,190.35,188.95,190.3,0.95,+0.50%,5830,24490
07/02/2024,187.6,189.4,187.6,189.35,2.075,+1.11%,6647,22979
07/01/2024,187.25,187.6,186.475,187.275,-0.5,-0.27%,6151,22681
06/28/2024,189.375,189.525,187.375,187.775,-1.25,-0.66%,5944,21251
06/27/2024,189.825,190.175,188.45,189.025,-0.925,-0.49%,4144,21317
06/26/2024,188.55,190.1,188.5,189.95,1.4,+0.74%,4155,21090
06/25/2024,188.55,189.2,188.05,188.55,-0.025,-0.01%,3406,20524
06/24/2024,187.625,188.9,187.25,188.575,-0.05,-0.03%,4842,19930
06/21/2024,189.425,189.75,188.25,188.625,-0.775,-0.41%,5057,19194
06/20/2024,190.375,190.725,188.525,189.4,-0.5,-0.26%,4112,18807
06/18/2024,190.1,190.725,189.425,189.9,-0.45,-0.24%,2374,18379
06/17/2024,190.5,190.8,189.65,190.35,-0.025,-0.01%,2949,18402
06/14/2024,188.95,190.825,188.7,190.375,2.15,+1.14%,4381,18304
06/13/2024,187.75,188.5,186.5,188.225,0.45,+0.24%,2700,17517
06/12/2024,188.325,188.85,187.225,187.775,-0.3,-0.16%,2291,17368
06/11/2024,188.25,188.75,187.825,188.075,-0.275,-0.15%,2247,16976
06/10/2024,186.2,188.475,186.2,188.35,2.35,+1.26%,3057,16927
06/07/2024,185.925,186.4,185,186,0.025,+0.01%,2955,16607
06/06/2024,186.925,186.925,184.775,185.975,-0.95,-0.51%,3262,16122
06/05/2024,187.475,188.05,186.45,186.925,-0.55,-0.29%,1803,15998
06/04/2024,188.275,188.65,187.25,187.475,-0.075,-0.04%,2429,15756
06/03/2024,188,188,185.825,187.55,-0.025,-0.01%,2519,15689
05/31/2024,188.75,188.75,187.175,187.575,-1.175,-0.62%,2756,15769
05/30/2024,189.625,189.85,187.775,188.75,-0.95,-0.50%,2384,15750
05/29/2024,191.525,191.825,189,189.7,-2.075,-1.08%,3186,15575
05/28/2024,190.675,192,190.425,191.775,1.1,+0.58%,3272,15588
05/24/2024,190.55,191.275,189.925,190.675,-0.125,-0.07%,2925,14663
05/23/2024,190.625,191.575,190.6,190.8,-0.45,-0.24%,2540,14508
05/22/2024,190.225,191.3,190.1,191.25,1.075,+0.57%,2804,14267
05/21/2024,189.275,190.2,189.275,190.175,0.9,+0.48%,2896,13878
05/20/2024,189.125,189.7,188.975,189.275,0.15,+0.08%,2525,13858
05/17/2024,188.15,189.175,188,189.125,1.175,+0.63%,2528,13697
05/16/2024,187.25,188.5,187.25,187.95,0.7,+0.37%,1651,13375
05/15/2024,187.3,188.025,186.9,187.25,0.175,+0.09%,1960,13156
05/14/2024,185.325,187.5,185.225,187.075,2.075,+1.12%,2134,13141
05/13/2024,185.15,186.35,184.3,185,-0.05,-0.03%,2849,12888
05/10/2024,184.5,185.525,183.775,185.05,0.55,+0.30%,2586,12387
05/09/2024,185.6,186.125,184.075,184.5,-0.7,-0.38%,2071,12290
05/08/2024,186.675,187.075,185.075,185.2,-1.475,-0.79%,1657,12316
05/07/2024,186.225,187.4,186.075,186.675,1.05,+0.57%,1553,12273
05/06/2024,186.075,186.075,185.1,185.625,-0.325,-0.17%,1662,12197
05/03/2024,185.95,186.8,185.5,185.95,0.3,+0.16%,2021,12190
05/02/2024,186.025,186.925,185.4,185.65,2.3,+1.25%,2370,12081
05/01/2024,185.625,186.15,182.425,183.35,-2.3,-1.24%,2864,11899
04/30/2024,187.5,187.5,184.975,185.65,-2.275,-1.21%,4185,11801
04/29/2024,188.475,188.925,187.675,187.925,-0.45,-0.24%,1318,11452
04/26/2024,187.7,189.175,187.45,188.375,0.7,+0.37%,1809,11433
04/25/2024,185.875,188.025,184.775,187.675,1.525,+0.82%,2481,11409
04/24/2024,187.225,188.35,185.875,186.15,-1.425,-0.76%,3192,11209
04/23/2024,187.125,188.5,186.175,187.575,0.325,+0.17%,3701,11293
04/22/2024,185.475,187.725,185.3,187.25,2.9,+1.57%,2762,10996
04/19/2024,184,184.625,183.575,184.35,0,0.00%,1973,10878
04/18/2024,183.3,184.575,183.1,184.35,1.05,+0.57%,1977,10575
04/17/2024,183.1,183.55,182.725,183.3,0.075,+0.04%,1033,10428
04/16/2024,181.925,183.525,181.075,183.225,1.55,+0.85%,1734,10412
04/15/2024,180.45,182.45,180.45,181.675,1.675,+0.93%,1973,10128
04/12/2024,182.15,182.75,178.975,180,-2.35,-1.29%,2080,9909
04/11/2024,181.25,182.475,180.6,182.35,0.55,+0.30%,1206,9756
04/10/2024,183.125,183.925,181.1,181.8,-1.45,-0.79%,1154,9737
04/09/2024,181.975,183.5,181.975,183.25,1.275,+0.70%,1408,9829
04/08/2024,182,182.6,181.175,181.975,0.375,+0.21%,1677,9826
04/05/2024,184.525,184.675,180.8,181.6,-2.975,-1.61%,1769,9670
04/04/2024,183.75,185.15,183.275,184.575,1.125,+0.61%,1806,9810
04/03/2024,184.125,184.325,181.95,183.45,-0.825,-0.45%,1597,9921
04/02/2024,183.775,185.15,183.05,184.275,0.85,+0.46%,3038,9805
04/01/2024,188.625,189.425,182.875,183.425,-5.55,-2.94%,2218,9736
03/28/2024,187.55,189.25,186.75,188.975,1.45,+0.77%,1581,9449
03/27/2024,187.35,187.825,186.425,187.525,0.25,+0.13%,1581,9736
03/26/2024,190.35,190.55,186.125,187.275,-3.2,-1.68%,2844,9146
03/25/2024,190.775,192.425,189.775,190.475,-0.975,-0.51%,1099,9206
03/22/2024,193,193.05,190.95,191.45,-1.75,-0.91%,1357,9207
03/21/2024,193.625,194.4,192.575,193.2,-0.425,-0.22%,1326,9089
03/20/2024,194.075,194.4,193.375,193.625,-0.575,-0.30%,747,8893
03/19/2024,194.05,194.45,193.575,194.2,0.15,+0.08%,923,8770
03/18/2024,193.1,194.1,192.75,194.05,1.375,+0.71%,681,8761
03/15/2024,192.5,193.45,192.1,192.675,0.275,+0.14%,720,8630
03/14/2024,194.35,194.85,192.075,192.4,-1.9,-0.98%,1045,8515
03/13/2024,193.175,194.425,193.1,194.3,1.275,+0.66%,865,8479
03/12/2024,192.25,193.425,192.25,193.025,0.55,+0.29%,643,8424
03/11/2024,192.5,192.65,191.85,192.475,-0.275,-0.14%,882,8335
03/08/2024,193.1,194.125,192.475,192.75,-0.7,-0.36%,927,8290
03/07/2024,192.5,193.5,192.275,193.45,0.95,+0.49%,701,8206
03/06/2024,192.575,192.875,192,192.5,-0.25,-0.13%,553,8126
03/05/2024,192.5,192.85,191.975,192.75,0.625,+0.33%,849,8052
03/04/2024,192.35,192.45,191.725,192.125,-0.325,-0.17%,897,7940
03/01/2024,191.175,192.5,191.15,192.45,1.45,+0.76%,833,7765
02/29/2024,191.05,191.425,190.225,191,-0.475,-0.25%,731,7507
02/28/2024,192.35,192.35,190.975,191.475,-0.925,-0.48%,655,7334
02/27/2024,192.5,193.05,192.05,192.4,-0.15,-0.08%,777,7294
02/26/2024,190.75,192.8,190.675,192.55,0.225,+0.12%,733,7092
02/23/2024,191.05,192.375,190.475,192.325,1.175,+0.61%,1035,6950
02/22/2024,192.1,192.525,190.925,191.15,-0.95,-0.49%,634,6478
02/21/2024,191.3,192.675,191.175,192.1,0.6,+0.31%,732,6367
02/20/2024,190.675,191.9,190.45,191.5,0.825,+0.43%,574,6215
02/16/2024,189.125,191.475,189.125,190.675,0.8,+0.42%,601,6040
02/15/2024,189.5,189.975,188.55,189.875,0.3,+0.16%,675,5954
02/14/2024,191.05,191.15,188.7,189.575,-1.625,-0.85%,371,5926
02/13/2024,191.325,191.625,191,191.2,-0.7,-0.36%,568,5894
02/12/2024,191.725,192.325,191.225,191.9,0.175,+0.09%,713,5909
02/09/2024,191.725,192.225,191.2,191.725,-0.125,-0.07%,540,5988
02/08/2024,191.825,192.675,191.675,191.85,0.45,+0.24%,847,6045
02/07/2024,191.925,192.2,191.05,191.4,-0.725,-0.38%,642,5927
02/06/2024,190.925,192.475,190.65,192.125,1.2,+0.63%,862,5920
02/05/2024,192.2,192.35,190.75,190.925,-1.225,-0.64%,567,5838
02/02/2024,192,192.75,191.8,192.15,0,0.00%,637,5852
02/01/2024,190.875,192.45,190.725,192.15,1.675,+0.88%,1092,5774
01/31/2024,190.375,190.8,190.175,190.475,-0.125,-0.07%,242,5388
01/30/2024,188.975,190.775,188.975,190.6,0.875,+0.46%,443,5311
01/29/2024,190,191.15,189.575,189.725,-0.5,-0.26%,640,5230
01/26/2024,189.2,190.9,189.15,190.225,0.9,+0.48%,982,5227
01/25/2024,188.125,190,187.4,189.325,1.075,+0.57%,762,5085
01/24/2024,187.05,188.35,187.05,188.25,0.75,+0.40%,433,4894
01/23/2024,186.85,187.6,186.675,187.5,0.575,+0.31%,306,4779
01/22/2024,186.55,187,185.45,186.925,0.175,+0.09%,386,4666
01/19/2024,186.25,186.775,186.15,186.75,0.225,+0.12%,245,4619
01/18/2024,185,186.825,185,186.525,1.1,+0.59%,425,4551
01/17/2024,184.625,185.55,184.5,185.425,0.35,+0.19%,256,4469
01/16/2024,184.25,185.45,184,185.075,0.65,+0.35%,504,4433
01/12/2024,184.475,185.075,183.625,184.425,-0.025,-0.01%,351,4283
01/11/2024,183.85,184.75,183.55,184.45,0.325,+0.18%,438,4210
01/10/2024,184.175,184.75,183.925,184.125,0.125,+0.07%,552,4178
01/09/2024,183.525,184.675,183.25,184,0.1,+0.05%,372,4030
01/08/2024,184.8,185.825,183.7,183.9,-0.9,-0.49%,362,3946
01/05/2024,185,186.325,184.425,184.8,-0.5,-0.27%,729,3887
01/04/2024,185.15,185.8,184.875,185.3,-0.25,-0.13%,438,3696
01/03/2024,185,185.675,184.5,185.55,0.325,+0.18%,475,3555
01/02/2024,183.725,185.7,183.7,185.225,1.575,+0.86%,794,3465
12/29/2023,183.6,183.925,183.3,183.65,0.375,+0.20%,171,3395
12/28/2023,183.4,184.025,182.6,183.275,-0.225,-0.12%,388,3369
12/27/2023,183.625,184.05,182.9,183.5,-0.125,-0.07%,307,3220
12/26/2023,181.375,183.7,181.125,183.625,1.35,+0.74%,284,3217
12/22/2023,182.125,182.8,181.55,182.275,0.15,+0.08%,127,3145
12/21/2023,183.075,183.525,182.05,182.125,-1.35,-0.74%,103,3149
12/20/2023,182.275,183.625,181.85,183.475,1.025,+0.56%,143,3129
12/19/2023,182.25,183.225,182.025,182.45,0,0.00%,174,3114
12/18/2023,182.45,183.525,182.275,182.45,0.575,+0.32%,329,3061
12/15/2023,180.575,182.075,180.075,181.875,1.1,+0.61%,270,2976
12/14/2023,180.375,181.15,180.15,180.775,0.6,+0.33%,227,2938
12/13/2023,180.25,181.325,179.575,180.175,-0.575,-0.32%,178,2854
12/12/2023,178.75,180.95,178.05,180.75,1.525,+0.85%,179,2844
12/11/2023,177.8,179.35,176.85,179.225,1.575,+0.89%,194,2829
12/08/2023,176.05,178.3,175.525,177.65,1.975,+1.12%,350,2820
12/07/2023,176.85,178.075,175.075,175.675,-1.175,-0.66%,695,2774
12/06/2023,179.55,180.775,176.175,176.85,-3.075,-1.71%,462,2754
12/05/2023,179.35,180.6,178.75,179.925,0.9,+0.50%,401,2684
12/04/2023,179.825,180.875,178.15,179.025,-1.525,-0.84%,516,2628
12/01/2023,182.3,182.425,180.15,180.55,-1.575,-0.86%,370,2580
11/30/2023,183.2,183.2,180.525,182.125,-1.325,-0.72%,245,2501
11/29/2023,183.025,184.15,182.85,183.45,0.3,+0.16%,278,2469
11/28/2023,181.8,183.8,180.075,183.15,2.925,+1.62%,506,2408
11/27/2023,183.725,183.725,180.1,180.225,-2.675,-1.46%,291,2311
11/24/2023,185.3,185.3,182.775,182.9,-3.025,-1.63%,261,2299
11/22/2023,186.1,186.75,185.85,185.925,-0.45,-0.24%,68,2284
