Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/04/2024,83.925,83.925,83.925,83.925,-0.147,-0.17%,0,0
12/03/2024,84.072,84.072,84.072,84.072,0.013,+0.02%,0,0
12/02/2024,84.059,84.059,84.059,84.059,-0.298,-0.35%,0,0
11/29/2024,84.357,84.357,84.357,84.357,-0.849,-1.00%,0,0
11/27/2024,85.206,85.206,85.206,85.206,-0.303,-0.35%,0,0
11/26/2024,85.509,85.509,85.509,85.509,-0.388,-0.45%,0,0
11/25/2024,85.897,85.897,85.897,85.897,-0.564,-0.65%,0,0
11/22/2024,86.461,86.461,86.461,86.461,-0.55,-0.63%,0,0
11/21/2024,87.011,87.011,87.011,87.011,-0.424,-0.48%,0,0
11/20/2024,87.435,87.435,87.435,87.435,-0.397,-0.45%,0,0
11/19/2024,87.832,87.832,87.832,87.832,-0.255,-0.29%,0,0
11/18/2024,88.087,88.087,88.087,88.087,-0.403,-0.46%,0,0
11/15/2024,88.49,88.49,88.49,88.49,-0.779,-0.87%,0,0
11/14/2024,89.269,89.269,89.269,89.269,-0.51,-0.57%,0,0
11/13/2024,89.779,89.779,89.779,89.779,-0.16,-0.18%,0,0
11/12/2024,89.939,89.939,89.939,89.939,0.059,+0.07%,0,0
11/11/2024,89.88,89.88,89.88,89.88,-0.139,-0.15%,0,0
11/08/2024,90.019,90.019,90.019,90.019,-0.414,-0.46%,0,0
11/07/2024,90.433,90.433,90.433,90.433,-0.18,-0.20%,0,0
11/06/2024,90.613,90.613,90.613,90.613,0.377,+0.42%,0,0
11/05/2024,90.236,90.236,90.236,90.236,0.45,+0.50%,0,0
11/04/2024,89.786,89.786,89.786,89.786,0.404,+0.45%,0,0
11/01/2024,89.382,89.382,89.382,89.382,0.817,+0.92%,0,0
10/31/2024,88.565,88.565,88.565,88.565,0.638,+0.73%,0,0
10/30/2024,87.927,87.927,87.927,87.927,1.144,+1.32%,0,0
10/29/2024,86.783,86.783,86.783,86.783,1.05,+1.22%,0,0
10/28/2024,85.733,85.733,85.733,85.733,0.186,+0.22%,0,0
10/25/2024,85.547,85.547,85.547,85.547,0.122,+0.14%,0,0
10/24/2024,85.425,85.425,85.425,85.425,0.224,+0.26%,0,0
10/23/2024,85.201,85.201,85.201,85.201,0.538,+0.64%,0,0
10/22/2024,84.663,84.663,84.663,84.663,0.429,+0.51%,0,0
10/18/2024,84.234,84.234,84.234,84.234,0.278,+0.33%,0,0
10/17/2024,83.956,83.956,83.956,83.956,0.114,+0.14%,0,0
10/16/2024,83.842,83.842,83.842,83.842,-0.236,-0.28%,0,0
10/14/2024,84.078,84.078,84.078,84.078,-0.084,-0.10%,0,0
10/11/2024,84.162,84.162,84.162,84.162,-0.128,-0.15%,0,0
10/10/2024,84.29,84.29,84.29,84.29,-0.178,-0.21%,0,0
10/09/2024,84.468,84.468,84.468,84.468,0,0.00%,0,0
10/08/2024,84.468,84.468,84.468,84.468,0.208,+0.25%,0,0
10/04/2024,84.26,84.26,84.26,84.26,-0.568,-0.67%,0,0
10/03/2024,84.828,84.828,84.828,84.828,-0.067,-0.08%,0,0
10/02/2024,84.895,84.895,84.895,84.895,0.45,+0.53%,0,0
10/01/2024,84.445,84.445,84.445,84.445,0.315,+0.37%,0,0
09/30/2024,84.13,84.13,84.13,84.13,0.098,+0.12%,0,0
09/26/2024,84.032,84.032,84.032,84.032,-0.042,-0.05%,0,0
09/25/2024,84.074,84.074,84.074,84.074,0.024,+0.03%,0,0
09/24/2024,84.05,84.05,84.05,84.05,-0.157,-0.19%,0,0
09/23/2024,84.207,84.207,84.207,84.207,-0.079,-0.09%,0,0
09/20/2024,84.286,84.286,84.286,84.286,-0.075,-0.09%,0,0
09/19/2024,84.361,84.361,84.361,84.361,-0.014,-0.02%,0,0
09/18/2024,84.375,84.375,84.375,84.375,0.153,+0.18%,0,0
09/17/2024,84.222,84.222,84.222,84.222,0.002,0.00%,0,0
09/16/2024,84.22,84.22,84.22,84.22,-0.165,-0.20%,0,0
09/13/2024,84.385,84.385,84.385,84.385,-0.487,-0.57%,0,0
09/12/2024,84.872,84.872,84.872,84.872,-0.475,-0.56%,0,0
09/11/2024,85.347,85.347,85.347,85.347,-0.117,-0.14%,0,0
09/10/2024,85.464,85.464,85.464,85.464,-0.093,-0.11%,0,0
09/09/2024,85.557,85.557,85.557,85.557,-0.186,-0.22%,0,0
09/06/2024,85.743,85.743,85.743,85.743,-0.495,-0.57%,0,0
09/05/2024,86.238,86.238,86.238,86.238,-0.196,-0.23%,0,0
09/04/2024,86.434,86.434,86.434,86.434,0.16,+0.19%,0,0
09/03/2024,86.274,86.274,86.274,86.274,0.122,+0.14%,0,0
