Time,Open,High,Low,Last,Change,%Chg,Volume
12/06/2024,109.05,109.105,108.75,108.83,0.09,+0.08%,1557400
12/05/2024,108.63,108.8164,108.595,108.74,-0.13,-0.12%,1712900
12/04/2024,108.46,108.95,108.45,108.87,0.31,+0.29%,2743500
12/03/2024,108.67,108.7262,108.48,108.56,0.05,+0.05%,2072500
12/02/2024,108.25,108.76,108.25,108.51,-0.25,-0.23%,10473300
11/29/2024,108.7,108.77,108.5427,108.76,0.31,+0.29%,2221300
11/27/2024,108.49,108.53,108.28,108.45,0.34,+0.31%,2106600
11/26/2024,108.32,108.38,108.05,108.11,-0.25,-0.23%,2612454
11/25/2024,108.28,108.4,108.0501,108.36,0.59,+0.55%,2028450
11/22/2024,107.7,107.9,107.62,107.77,0.08,+0.07%,1541900
11/21/2024,107.83,107.98,107.59,107.69,-0.14,-0.13%,2007300
11/20/2024,107.78,108.095,107.74,107.83,-0.05,-0.05%,2465100
11/19/2024,107.93,108.0602,107.835,107.88,0.17,+0.16%,1349300
11/18/2024,107.43,107.77,107.37,107.71,0.26,+0.24%,1572000
11/15/2024,107.21,107.64,107.06,107.45,0.03,+0.03%,3513200
11/14/2024,107.73,107.86,107.37,107.42,-0.02,-0.02%,2095500
11/13/2024,108,108.09,107.35,107.44,-0.2,-0.19%,2857800
11/12/2024,108.02,108.19,107.57,107.64,-0.57,-0.53%,3034500
11/11/2024,108.28,108.325,108.1201,108.21,-0.36,-0.33%,1465400
11/08/2024,108.54,108.685,108.37,108.57,0.3,+0.28%,2767100
11/07/2024,107.99,108.37,107.97,108.27,0.4,+0.37%,4425600
11/06/2024,107.42,108.11,107.38,107.87,-0.17,-0.16%,1828500
11/05/2024,107.85,108.145,107.625,108.04,0.1,+0.09%,3188100
11/04/2024,108.23,108.2895,107.8,107.94,0.18,+0.17%,1901900
11/01/2024,108.36,108.49,107.665,107.76,-0.55,-0.51%,2613300
10/31/2024,108.33,108.485,108.08,108.31,-0.12,-0.11%,3683800
10/30/2024,108.33,108.76,108.31,108.43,0.21,+0.19%,1174900
10/29/2024,107.84,108.24,107.71,108.22,0.16,+0.15%,8300200
10/28/2024,108.21,108.22,107.8757,108.06,-0.21,-0.19%,1848300
10/25/2024,108.69,108.69,108.221,108.27,-0.29,-0.27%,1677400
10/24/2024,108.51,108.76,108.44,108.56,0.11,+0.10%,1504900
10/23/2024,108.48,108.53,108.31,108.45,-0.27,-0.25%,1310900
10/22/2024,108.8,108.87,108.6201,108.72,0.15,+0.14%,1464000
10/21/2024,109.06,109.09,108.54,108.57,-0.79,-0.72%,1783100
10/18/2024,109.33,109.479,109.33,109.36,0.18,+0.16%,964800
10/17/2024,109.24,109.33,109.11,109.18,-0.33,-0.30%,1163900
10/16/2024,109.63,109.6458,109.48,109.51,0.02,+0.02%,680900
10/15/2024,109.45,109.643,109.41,109.49,0.12,+0.11%,911100
10/14/2024,109.1,109.4,109.085,109.37,-0.11,-0.10%,1095700
10/11/2024,109.42,109.68,109.35,109.48,0.01,+0.01%,1716100
10/10/2024,109.27,109.49,109.19,109.47,0.22,+0.20%,1854500
10/09/2024,109.14,109.28,109.005,109.25,-0.2,-0.18%,2538500
10/08/2024,109.08,109.47,109.035,109.45,0.18,+0.16%,1951200
10/07/2024,109.21,109.36,109.16,109.27,-0.12,-0.11%,1643900
10/04/2024,109.59,109.72,109.365,109.39,-0.75,-0.68%,1920600
10/03/2024,110.38,110.63,110.12,110.14,-0.47,-0.42%,1590500
10/02/2024,110.39,110.68,110.305,110.61,-0.1,-0.09%,2561600
10/01/2024,110.66,111.025,110.6201,110.71,0.24,+0.22%,3069000
09/30/2024,110.55,110.59,110.27,110.47,-0.07,-0.06%,1592400
09/27/2024,110.48,110.645,110.4,110.54,0.27,+0.24%,892400
09/26/2024,110.39,110.43,110.1143,110.27,-0.14,-0.13%,2141700
09/25/2024,110.62,110.63,110.39,110.41,-0.42,-0.38%,1181600
09/24/2024,110.47,110.885,110.375,110.83,0.27,+0.24%,1880400
09/23/2024,110.36,110.68,110.19,110.56,0.01,+0.01%,1208900
09/20/2024,110.51,110.6801,110.315,110.55,-0.15,-0.14%,1088700
09/19/2024,110.33,110.73,110.275,110.7,0.33,+0.30%,1789600
09/18/2024,110.59,111.06,110.33,110.37,-0.41,-0.37%,1191400
09/17/2024,110.85,110.91,110.72,110.78,-0.04,-0.04%,2195600
09/16/2024,110.66,110.87,110.5704,110.82,0.38,+0.34%,944600
09/13/2024,110.52,110.53,110.31,110.44,0.37,+0.34%,1689400
09/12/2024,109.98,110.135,109.86,110.07,0.02,+0.02%,1787200
09/11/2024,110.02,110.33,109.97,110.05,0.07,+0.06%,1549900
09/10/2024,109.69,110.015,109.65,109.98,0.24,+0.22%,2782200
09/09/2024,109.56,109.81,109.46,109.74,0.25,+0.23%,1377500
09/06/2024,109.65,109.99,109.43,109.49,0.07,+0.06%,2264200
09/05/2024,109.55,109.55,109.255,109.42,0.07,+0.06%,6292400
