Time,Open,High,Low,Last,Change,%Chg,Volume
12/06/2024,82.26,82.27,82.2101,82.23,0.08,+0.10%,5705800
12/05/2024,82.1,82.15,82.085,82.15,0,0.00%,2517800
12/04/2024,82.04,82.1652,82.04,82.15,0.09,+0.11%,3935500
12/03/2024,82.1,82.11,82.04,82.06,0.01,+0.01%,3950500
12/02/2024,82.01,82.08,81.98,82.05,-0.27,-0.33%,5102300
11/29/2024,82.31,82.33,82.3,82.32,0.1,+0.12%,1597500
11/27/2024,82.25,82.26,82.21,82.22,0.05,+0.06%,2463400
11/26/2024,82.15,82.17,82.1,82.17,0,0.00%,6597226
11/25/2024,82.12,82.17,82.1,82.17,0.16,+0.20%,3579185
11/22/2024,82.04,82.06,82.0025,82.01,-0.01,-0.01%,2352200
11/21/2024,82.05,82.09,82,82.02,-0.02,-0.02%,2565800
11/20/2024,82.06,82.09,82.04,82.04,-0.04,-0.05%,3362600
11/19/2024,82.12,82.13,82.08,82.08,0,0.00%,2655600
11/18/2024,82.05,82.08,82.02,82.08,0.06,+0.07%,2645600
11/15/2024,81.96,82.09,81.93,82.02,0.09,+0.11%,3299700
11/14/2024,82.07,82.0862,81.9199,81.93,-0.12,-0.15%,4405400
11/13/2024,82.08,82.08,82,82.05,0.12,+0.15%,2909700
11/12/2024,81.95,81.98,81.9001,81.93,-0.08,-0.10%,4609900
11/11/2024,81.99,82.01,81.99,82.01,-0.06,-0.07%,1567900
11/08/2024,82.12,82.1499,82.04,82.07,-0.06,-0.07%,3934900
11/07/2024,82.05,82.13,82.02,82.13,0.14,+0.17%,10555500
11/06/2024,81.95,82.01,81.94,81.99,-0.1,-0.12%,6637900
11/05/2024,82.11,82.11,82.01,82.09,-0.02,-0.02%,2808600
11/04/2024,82.15,82.17,82.09,82.11,0.06,+0.07%,2400700
11/01/2024,82.18,82.1999,82.03,82.05,-0.31,-0.38%,5598500
10/31/2024,82.33,82.39,82.29,82.36,0.02,+0.02%,3751500
10/30/2024,82.42,82.47,82.34,82.34,-0.07,-0.08%,2949300
10/29/2024,82.35,82.425,82.33,82.41,0.03,+0.04%,2920400
10/28/2024,82.44,82.44,82.35,82.38,-0.04,-0.05%,2886500
10/25/2024,82.5,82.525,82.41,82.42,-0.03,-0.04%,2453000
10/24/2024,82.45,82.49,82.42,82.45,0.04,+0.05%,2444500
10/23/2024,82.44,82.4401,82.4,82.41,-0.05,-0.06%,3303800
10/22/2024,82.5,82.51,82.44,82.46,-0.01,-0.01%,4333200
10/21/2024,82.56,82.56,82.47,82.47,-0.12,-0.15%,3474300
10/18/2024,82.59,82.6099,82.57,82.59,0.07,+0.08%,1725600
10/17/2024,82.53,82.535,82.5001,82.52,-0.07,-0.08%,2469600
10/16/2024,82.59,82.6099,82.57,82.59,0.05,+0.06%,2130600
10/15/2024,82.57,82.58,82.52,82.54,0.04,+0.05%,3387100
10/14/2024,82.48,82.5,82.435,82.5,-0.04,-0.05%,1849500
10/11/2024,82.52,82.56,82.5,82.54,0.07,+0.08%,3367300
10/10/2024,82.47,82.4999,82.39,82.47,0.07,+0.08%,3859500
10/09/2024,82.46,82.46,82.39,82.4,-0.08,-0.10%,4166700
10/08/2024,82.44,82.48,82.42,82.48,0.07,+0.08%,6423400
10/07/2024,82.4,82.46,82.4,82.41,-0.11,-0.13%,5052100
10/04/2024,82.58,82.6399,82.5,82.52,-0.28,-0.34%,4012900
10/03/2024,82.87,82.8781,82.8,82.8,-0.11,-0.13%,6480000
10/02/2024,82.89,82.9386,82.88,82.91,-0.02,-0.02%,5697700
10/01/2024,82.93,83.01,82.92,82.93,-0.22,-0.26%,4955500
09/30/2024,83.22,83.24,83.13,83.15,-0.12,-0.14%,5187900
09/27/2024,83.22,83.28,83.2,83.27,0.13,+0.16%,3208500
09/26/2024,83.21,83.23,83.14,83.14,-0.08,-0.10%,2321800
09/25/2024,83.27,83.28,83.22,83.22,-0.07,-0.08%,4829000
09/24/2024,83.23,83.3,83.195,83.29,0.08,+0.10%,8947800
09/23/2024,83.19,83.24,83.15,83.21,0,0.00%,5030800
09/20/2024,83.16,83.23,83.12,83.21,0.03,+0.04%,4082400
09/19/2024,83.14,83.18,83.1201,83.18,0.07,+0.08%,2892600
09/18/2024,83.1,83.24,83.05,83.11,-0.03,-0.04%,4413300
09/17/2024,83.16,83.17,83.12,83.14,-0.06,-0.07%,3015200
09/16/2024,83.2,83.2199,83.16,83.2,0.05,+0.06%,2861300
09/13/2024,83.16,83.17,83.11,83.15,0.125,+0.15%,3963900
09/12/2024,83.03,83.045,82.9513,83.025,0.005,+0.01%,2599200
09/11/2024,83,83.13,83,83.02,-0.07,-0.08%,3679200
09/10/2024,82.99,83.09,82.98,83.09,0.12,+0.14%,6833900
09/09/2024,82.95,82.9899,82.92,82.97,0.01,+0.01%,9361700
09/06/2024,82.9,83.06,82.811,82.96,0.15,+0.18%,6478500
09/05/2024,82.86,82.86,82.75,82.81,0.03,+0.04%,8628200
09/04/2024,82.66,82.79,82.65,82.78,0.18,+0.22%,2731000
09/03/2024,82.57,82.64,82.57,82.6,-0.2,-0.24%,3718800
