Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,3.077,3.077,3.077,3.077,-0.003,-0.10%,0,0
12/05/2024,3.08,3.08,3.08,3.08,0.039,+1.28%,0,0
12/04/2024,3.041,3.041,3.041,3.041,-0.002,-0.07%,0,0
12/03/2024,3.043,3.043,3.043,3.043,-0.177,-5.50%,0,0
12/02/2024,3.22,3.22,3.22,3.22,-0.146,-4.34%,0,0
11/29/2024,3.366,3.366,3.366,3.366,0.159,+4.96%,0,0
11/27/2024,3.207,3.207,3.207,3.207,-0.257,-7.42%,0,0
11/26/2024,3.464,3.464,3.464,3.464,0.109,+3.25%,0,0
11/25/2024,3.355,3.355,3.355,3.355,0.221,+7.05%,0,0
11/22/2024,3.134,3.134,3.134,3.134,-0.207,-6.20%,0,0
11/21/2024,3.341,3.341,3.341,3.341,0.147,+4.60%,0,0
11/20/2024,3.194,3.194,3.194,3.194,0.197,+6.57%,0,0
11/19/2024,2.997,2.997,2.997,2.997,0.026,+0.88%,0,0
11/18/2024,2.971,2.971,2.971,2.971,0.154,+5.47%,0,0
11/15/2024,2.817,2.817,2.817,2.817,0.034,+1.22%,0,0
11/14/2024,2.783,2.783,2.783,2.783,-0.204,-6.83%,0,0
11/13/2024,2.987,2.987,2.987,2.987,0.081,+2.79%,0,0
11/12/2024,2.906,2.906,2.906,2.906,-0.016,-0.55%,0,0
11/11/2024,2.922,2.922,2.922,2.922,0.254,+9.52%,0,0
11/08/2024,2.668,2.668,2.668,2.668,-0.025,-0.93%,0,0
11/07/2024,2.693,2.693,2.693,2.693,-0.055,-2.00%,0,0
11/06/2024,2.748,2.748,2.748,2.748,0.073,+2.73%,0,0
11/05/2024,2.675,2.675,2.675,2.675,-0.108,-3.88%,0,0
11/04/2024,2.783,2.783,2.783,2.783,0.123,+4.62%,0,0
11/01/2024,2.66,2.66,2.66,2.66,-0.048,-1.77%,0,0
10/31/2024,2.708,2.708,2.708,2.708,-0.137,-4.82%,0,0
10/30/2024,2.845,2.845,2.845,2.845,-0.015,-0.52%,0,0
10/29/2024,2.86,2.86,2.86,2.86,0.562,+24.46%,0,0
10/28/2024,2.298,2.298,2.298,2.298,-0.26,-10.16%,0,0
10/25/2024,2.558,2.558,2.558,2.558,0.032,+1.27%,0,0
10/24/2024,2.526,2.526,2.526,2.526,0.185,+7.90%,0,0
10/23/2024,2.341,2.341,2.341,2.341,0.027,+1.17%,0,0
10/22/2024,2.314,2.314,2.314,2.314,0,0.00%,0,0
10/21/2024,2.314,2.314,2.314,2.314,0.053,+2.34%,0,0
10/18/2024,2.261,2.261,2.261,2.261,-0.086,-3.66%,0,0
10/17/2024,2.347,2.347,2.347,2.347,-0.022,-0.93%,0,0
10/16/2024,2.369,2.369,2.369,2.369,-0.127,-5.09%,0,0
10/15/2024,2.496,2.496,2.496,2.496,0.002,+0.08%,0,0
10/14/2024,2.494,2.494,2.494,2.494,-0.134,-5.10%,0,0
10/11/2024,2.628,2.628,2.628,2.628,-0.047,-1.76%,0,0
10/10/2024,2.675,2.675,2.675,2.675,0.016,+0.60%,0,0
10/09/2024,2.659,2.659,2.659,2.659,-0.073,-2.67%,0,0
10/08/2024,2.732,2.732,2.732,2.732,-0.015,-0.55%,0,0
10/07/2024,2.747,2.747,2.747,2.747,-0.106,-3.72%,0,0
10/04/2024,2.853,2.853,2.853,2.853,-0.119,-4.00%,0,0
10/03/2024,2.972,2.972,2.972,2.972,0.084,+2.91%,0,0
10/02/2024,2.888,2.888,2.888,2.888,-0.011,-0.38%,0,0
10/01/2024,2.899,2.899,2.899,2.899,-0.021,-0.72%,0,0
09/30/2024,2.92,2.92,2.92,2.92,0.018,+0.62%,0,0
09/27/2024,2.902,2.902,2.902,2.902,0.147,+5.34%,0,0
09/26/2024,2.755,2.755,2.755,2.755,0.118,+4.47%,0,0
09/25/2024,2.637,2.637,2.637,2.637,0.084,+3.29%,0,0
09/24/2024,2.553,2.553,2.553,2.553,-0.061,-2.33%,0,0
09/23/2024,2.614,2.614,2.614,2.614,0.177,+7.26%,0,0
09/20/2024,2.437,2.437,2.437,2.437,0.088,+3.75%,0,0
09/19/2024,2.349,2.349,2.349,2.349,0.065,+2.85%,0,0
09/18/2024,2.284,2.284,2.284,2.284,-0.04,-1.72%,0,0
09/17/2024,2.324,2.324,2.324,2.324,-0.049,-2.06%,0,0
09/16/2024,2.373,2.373,2.373,2.373,0.071,+3.08%,0,0
09/13/2024,2.302,2.302,2.302,2.302,-0.053,-2.25%,0,0
09/12/2024,2.355,2.355,2.355,2.355,0.085,+3.74%,0,0
09/11/2024,2.27,2.27,2.27,2.27,0.037,+1.66%,0,0
09/10/2024,2.233,2.233,2.233,2.233,0.067,+3.09%,0,0
09/09/2024,2.166,2.166,2.166,2.166,-0.11,-4.83%,0,0
09/06/2024,2.276,2.276,2.276,2.276,0.021,+0.93%,0,0
09/05/2024,2.255,2.255,2.255,2.255,0.11,+5.13%,0,0
09/04/2024,2.145,2.145,2.145,2.145,-0.065,-2.94%,0,0
09/03/2024,2.21,2.21,2.21,2.21,0.085,+4.00%,0,0
08/30/2024,2.125,2.125,2.125,2.125,-0.013,-0.61%,0,0
08/29/2024,2.138,2.138,2.138,2.138,0.041,+1.96%,0,0
08/28/2024,2.097,2.097,2.097,2.097,0.194,+10.19%,0,0
08/27/2024,1.903,1.903,1.903,1.903,-0.054,-2.76%,0,0
08/26/2024,1.957,1.957,1.957,1.957,-0.065,-3.21%,0,0
08/23/2024,2.022,2.022,2.022,2.022,-0.034,-1.65%,0,0
08/22/2024,2.056,2.056,2.056,2.056,-0.121,-5.56%,0,0
08/21/2024,2.177,2.177,2.177,2.177,-0.022,-1.00%,0,0
08/20/2024,2.199,2.199,2.199,2.199,-0.036,-1.61%,0,0
08/19/2024,2.235,2.235,2.235,2.235,0.113,+5.33%,0,0
08/16/2024,2.122,2.122,2.122,2.122,-0.074,-3.37%,0,0
08/15/2024,2.196,2.196,2.196,2.196,-0.02,-0.90%,0,0
08/14/2024,2.216,2.216,2.216,2.216,0.063,+2.93%,0,0
08/13/2024,2.153,2.153,2.153,2.153,-0.038,-1.73%,0,0
08/12/2024,2.191,2.191,2.191,2.191,0.045,+2.10%,0,0
08/09/2024,2.146,2.146,2.146,2.146,0.015,+0.70%,0,0
08/08/2024,2.131,2.131,2.131,2.131,0.019,+0.90%,0,0
08/07/2024,2.112,2.112,2.112,2.112,0.1,+4.97%,0,0
08/06/2024,2.012,2.012,2.012,2.012,0.069,+3.55%,0,0
08/05/2024,1.943,1.943,1.943,1.943,-0.027,-1.37%,0,0
08/02/2024,1.97,1.97,1.97,1.97,0.004,+0.20%,0,0
08/01/2024,1.966,1.966,1.966,1.966,-0.072,-3.53%,0,0
07/31/2024,2.038,2.038,2.038,2.038,-0.086,-4.05%,0,0
07/30/2024,2.124,2.124,2.124,2.124,0.08,+3.91%,0,0
07/29/2024,2.044,2.044,2.044,2.044,0.04,+2.00%,0,0
07/26/2024,2.004,2.004,2.004,2.004,-0.035,-1.72%,0,0
07/25/2024,2.039,2.039,2.039,2.039,-0.079,-3.73%,0,0
07/24/2024,2.118,2.118,2.118,2.118,-0.074,-3.38%,0,0
07/23/2024,2.192,2.192,2.192,2.192,-0.056,-2.49%,0,0
07/22/2024,2.248,2.248,2.248,2.248,0.123,+5.79%,0,0
07/19/2024,2.125,2.125,2.125,2.125,0,0.00%,0,0
07/18/2024,2.125,2.125,2.125,2.125,0.087,+4.27%,0,0
07/17/2024,2.038,2.038,2.038,2.038,-0.148,-6.77%,0,0
07/16/2024,2.186,2.186,2.186,2.186,0.028,+1.30%,0,0
07/15/2024,2.158,2.158,2.158,2.158,-0.169,-7.26%,0,0
07/12/2024,2.327,2.327,2.327,2.327,0.058,+2.56%,0,0
07/11/2024,2.269,2.269,2.269,2.269,-0.056,-2.41%,0,0
07/10/2024,2.325,2.325,2.325,2.325,-0.019,-0.81%,0,0
07/09/2024,2.344,2.344,2.344,2.344,-0.022,-0.93%,0,0
07/08/2024,2.366,2.366,2.366,2.366,0.047,+2.03%,0,0
07/05/2024,2.319,2.319,2.319,2.319,-0.097,-4.01%,0,0
07/03/2024,2.416,2.416,2.416,2.416,-0.018,-0.74%,0,0
07/02/2024,2.434,2.434,2.434,2.434,-0.044,-1.78%,0,0
07/01/2024,2.478,2.478,2.478,2.478,-0.122,-4.69%,0,0
06/28/2024,2.6,2.6,2.6,2.6,-0.084,-3.13%,0,0
06/27/2024,2.684,2.684,2.684,2.684,-0.06,-2.19%,0,0
06/26/2024,2.744,2.744,2.744,2.744,-0.002,-0.07%,0,0
06/25/2024,2.746,2.746,2.746,2.746,-0.061,-2.17%,0,0
06/24/2024,2.807,2.807,2.807,2.807,0.103,+3.81%,0,0
06/21/2024,2.704,2.704,2.704,2.704,-0.04,-1.46%,0,0
06/20/2024,2.744,2.744,2.744,2.744,-0.163,-5.61%,0,0
06/18/2024,2.907,2.907,2.907,2.907,0.119,+4.27%,0,0
06/17/2024,2.788,2.788,2.788,2.788,-0.09,-3.13%,0,0
06/14/2024,2.878,2.878,2.878,2.878,-0.079,-2.67%,0,0
06/13/2024,2.957,2.957,2.957,2.957,-0.09,-2.95%,0,0
06/12/2024,3.047,3.047,3.047,3.047,-0.085,-2.71%,0,0
06/11/2024,3.132,3.132,3.132,3.132,0.216,+7.41%,0,0
06/10/2024,2.916,2.916,2.916,2.916,0.004,+0.14%,0,0
06/07/2024,2.912,2.912,2.912,2.912,0.094,+3.34%,0,0
06/06/2024,2.818,2.818,2.818,2.818,0.059,+2.14%,0,0
06/05/2024,2.759,2.759,2.759,2.759,0.18,+6.98%,0,0
06/04/2024,2.579,2.579,2.579,2.579,-0.177,-6.42%,0,0
06/03/2024,2.756,2.756,2.756,2.756,0.164,+6.33%,0,0
05/31/2024,2.592,2.592,2.592,2.592,0.019,+0.74%,0,0
05/30/2024,2.573,2.573,2.573,2.573,-0.093,-3.49%,0,0
05/29/2024,2.666,2.666,2.666,2.666,0.086,+3.33%,0,0
05/28/2024,2.58,2.58,2.58,2.58,0.063,+2.50%,0,0
05/24/2024,2.517,2.517,2.517,2.517,-0.137,-5.16%,0,0
05/23/2024,2.654,2.654,2.654,2.654,-0.185,-6.52%,0,0
05/22/2024,2.839,2.839,2.839,2.839,0.168,+6.29%,0,0
05/21/2024,2.671,2.671,2.671,2.671,-0.083,-3.01%,0,0
05/20/2024,2.754,2.754,2.754,2.754,0.124,+4.71%,0,0
05/17/2024,2.63,2.63,2.63,2.63,0.136,+5.45%,0,0
05/16/2024,2.494,2.494,2.494,2.494,0.076,+3.14%,0,0
05/15/2024,2.418,2.418,2.418,2.418,0.076,+3.25%,0,0
05/14/2024,2.342,2.342,2.342,2.342,-0.04,-1.68%,0,0
05/13/2024,2.382,2.382,2.382,2.382,0.128,+5.68%,0,0
05/10/2024,2.254,2.254,2.254,2.254,-0.049,-2.13%,0,0
05/09/2024,2.303,2.303,2.303,2.303,0.117,+5.35%,0,0
05/08/2024,2.186,2.186,2.186,2.186,-0.022,-1.00%,0,0
05/07/2024,2.208,2.208,2.208,2.208,0.014,+0.64%,0,0
05/06/2024,2.194,2.194,2.194,2.194,0.045,+2.09%,0,0
05/03/2024,2.149,2.149,2.149,2.149,0.114,+5.60%,0,0
05/02/2024,2.035,2.035,2.035,2.035,0.103,+5.33%,0,0
05/01/2024,1.932,1.932,1.932,1.932,-0.058,-2.91%,0,0
04/30/2024,1.99,1.99,1.99,1.99,-0.044,-2.16%,0,0
04/29/2024,2.034,2.034,2.034,2.034,0.111,+5.77%,0,0
04/26/2024,1.923,1.923,1.923,1.923,0.282,+17.18%,0,0
04/25/2024,1.641,1.641,1.641,1.641,0.007,+0.43%,0,0
04/24/2024,1.634,1.634,1.634,1.634,-0.181,-9.97%,0,0
04/23/2024,1.815,1.815,1.815,1.815,0.023,+1.28%,0,0
04/22/2024,1.792,1.792,1.792,1.792,0.037,+2.11%,0,0
04/19/2024,1.755,1.755,1.755,1.755,-0.003,-0.17%,0,0
04/18/2024,1.758,1.758,1.758,1.758,0.046,+2.69%,0,0
04/17/2024,1.712,1.712,1.712,1.712,-0.02,-1.15%,0,0
04/16/2024,1.732,1.732,1.732,1.732,0.039,+2.30%,0,0
04/15/2024,1.693,1.693,1.693,1.693,-0.079,-4.46%,0,0
04/12/2024,1.772,1.772,1.772,1.772,0.005,+0.28%,0,0
04/11/2024,1.767,1.767,1.767,1.767,-0.122,-6.46%,0,0
04/10/2024,1.889,1.889,1.889,1.889,0.015,+0.80%,0,0
04/09/2024,1.874,1.874,1.874,1.874,0.029,+1.57%,0,0
04/08/2024,1.845,1.845,1.845,1.845,0.059,+3.30%,0,0
04/05/2024,1.786,1.786,1.786,1.786,0.014,+0.79%,0,0
04/04/2024,1.772,1.772,1.772,1.772,-0.072,-3.90%,0,0
04/03/2024,1.844,1.844,1.844,1.844,-0.019,-1.02%,0,0
04/02/2024,1.863,1.863,1.863,1.863,0.025,+1.36%,0,0
04/01/2024,1.838,1.838,1.838,1.838,0.078,+4.43%,0,0
03/28/2024,1.76,1.76,1.76,1.76,0.04,+2.33%,0,0
03/27/2024,1.72,1.72,1.72,1.72,-0.07,-3.91%,0,0
03/26/2024,1.79,1.79,1.79,1.79,0.175,+10.84%,0,0
03/25/2024,1.615,1.615,1.615,1.615,-0.042,-2.53%,0,0
03/22/2024,1.657,1.657,1.657,1.657,-0.028,-1.66%,0,0
03/21/2024,1.685,1.685,1.685,1.685,-0.014,-0.82%,0,0
03/20/2024,1.699,1.699,1.699,1.699,-0.042,-2.41%,0,0
03/19/2024,1.741,1.741,1.741,1.741,0.041,+2.41%,0,0
03/18/2024,1.7,1.7,1.7,1.7,0.044,+2.66%,0,0
03/15/2024,1.656,1.656,1.656,1.656,-0.085,-4.88%,0,0
03/14/2024,1.741,1.741,1.741,1.741,0.086,+5.20%,0,0
03/13/2024,1.655,1.655,1.655,1.655,-0.061,-3.55%,0,0
03/12/2024,1.716,1.716,1.716,1.716,-0.044,-2.50%,0,0
03/11/2024,1.76,1.76,1.76,1.76,-0.048,-2.65%,0,0
03/08/2024,1.808,1.808,1.808,1.808,-0.011,-0.60%,0,0
03/07/2024,1.819,1.819,1.819,1.819,-0.114,-5.90%,0,0
03/06/2024,1.933,1.933,1.933,1.933,-0.022,-1.13%,0,0
03/05/2024,1.955,1.955,1.955,1.955,0.035,+1.82%,0,0
03/04/2024,1.92,1.92,1.92,1.92,0.084,+4.58%,0,0
03/01/2024,1.836,1.836,1.836,1.836,-0.027,-1.45%,0,0
02/29/2024,1.863,1.863,1.863,1.863,-0.023,-1.22%,0,0
02/28/2024,1.886,1.886,1.886,1.886,0.074,+4.08%,0,0
02/27/2024,1.812,1.812,1.812,1.812,0.16,+9.69%,0,0
02/26/2024,1.652,1.652,1.652,1.652,0.051,+3.19%,0,0
02/23/2024,1.601,1.601,1.601,1.601,-0.136,-7.83%,0,0
02/22/2024,1.737,1.737,1.737,1.737,-0.036,-2.03%,0,0
02/21/2024,1.773,1.773,1.773,1.773,0.2,+12.71%,0,0
02/20/2024,1.573,1.573,1.573,1.573,-0.037,-2.30%,0,0
02/16/2024,1.61,1.61,1.61,1.61,0.028,+1.77%,0,0
02/15/2024,1.582,1.582,1.582,1.582,-0.029,-1.80%,0,0
02/14/2024,1.611,1.611,1.611,1.611,-0.076,-4.51%,0,0
02/13/2024,1.687,1.687,1.687,1.687,-0.083,-4.69%,0,0
02/12/2024,1.77,1.77,1.77,1.77,-0.074,-4.01%,0,0
02/09/2024,1.844,1.844,1.844,1.844,-0.075,-3.91%,0,0
02/08/2024,1.919,1.919,1.919,1.919,-0.05,-2.54%,0,0
02/07/2024,1.969,1.969,1.969,1.969,-0.039,-1.94%,0,0
02/06/2024,2.008,2.008,2.008,2.008,-0.075,-3.60%,0,0
02/05/2024,2.083,2.083,2.083,2.083,0.006,+0.29%,0,0
02/02/2024,2.077,2.077,2.077,2.077,0.025,+1.22%,0,0
02/01/2024,2.052,2.052,2.052,2.052,-0.049,-2.33%,0,0
01/31/2024,2.101,2.101,2.101,2.101,0.024,+1.16%,0,0
01/30/2024,2.077,2.077,2.077,2.077,0.025,+1.22%,0,0
01/29/2024,2.052,2.052,2.052,2.052,-0.666,-24.50%,0,0
01/26/2024,2.718,2.718,2.718,2.718,0.147,+5.72%,0,0
01/25/2024,2.571,2.571,2.571,2.571,-0.071,-2.69%,0,0
01/24/2024,2.642,2.642,2.642,2.642,0.195,+7.97%,0,0
01/23/2024,2.447,2.447,2.447,2.447,0.03,+1.24%,0,0
01/22/2024,2.417,2.417,2.417,2.417,-0.106,-4.20%,0,0
01/19/2024,2.523,2.523,2.523,2.523,-0.18,-6.66%,0,0
01/18/2024,2.703,2.703,2.703,2.703,-0.167,-5.82%,0,0
01/17/2024,2.87,2.87,2.87,2.87,-0.035,-1.20%,0,0
01/16/2024,2.905,2.905,2.905,2.905,-0.413,-12.45%,0,0
01/12/2024,3.318,3.318,3.318,3.318,0.219,+7.07%,0,0
01/11/2024,3.099,3.099,3.099,3.099,0.069,+2.28%,0,0
01/10/2024,3.03,3.03,3.03,3.03,-0.16,-5.02%,0,0
01/09/2024,3.19,3.19,3.19,3.19,0.21,+7.05%,0,0
01/08/2024,2.98,2.98,2.98,2.98,0.088,+3.04%,0,0
01/05/2024,2.892,2.892,2.892,2.892,0.071,+2.52%,0,0
01/04/2024,2.821,2.821,2.821,2.821,0.149,+5.58%,0,0
01/03/2024,2.672,2.672,2.672,2.672,0.101,+3.93%,0,0
01/02/2024,2.571,2.571,2.571,2.571,0.056,+2.23%,0,0
12/29/2023,2.515,2.515,2.515,2.515,-0.043,-1.68%,0,0
12/28/2023,2.558,2.558,2.558,2.558,0.121,+4.97%,0,0
12/27/2023,2.437,2.437,2.437,2.437,-0.116,-4.54%,0,0
12/26/2023,2.553,2.553,2.553,2.553,-0.054,-2.07%,0,0
12/22/2023,2.607,2.607,2.607,2.607,0.041,+1.60%,0,0
12/21/2023,2.566,2.566,2.566,2.566,0.124,+5.08%,0,0
12/20/2023,2.442,2.442,2.442,2.442,-0.051,-2.05%,0,0
12/19/2023,2.493,2.493,2.493,2.493,-0.012,-0.48%,0,0
12/18/2023,2.505,2.505,2.505,2.505,0.016,+0.64%,0,0
12/15/2023,2.489,2.489,2.489,2.489,0.101,+4.23%,0,0
12/14/2023,2.388,2.388,2.388,2.388,0.05,+2.14%,0,0
12/13/2023,2.338,2.338,2.338,2.338,0.024,+1.04%,0,0
12/12/2023,2.314,2.314,2.314,2.314,-0.122,-5.01%,0,0
12/11/2023,2.436,2.436,2.436,2.436,-0.142,-5.51%,0,0
12/08/2023,2.578,2.578,2.578,2.578,-0.009,-0.35%,0,0
12/07/2023,2.587,2.587,2.587,2.587,0.022,+0.86%,0,0
