Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,969,969,969,969,1,+0.10%,0,0
12/05/2024,968,968,968,968,10,+1.04%,0,0
12/04/2024,958,958,958,958,-8.,-0.83%,0,0
12/03/2024,966,966,966,966,8,+0.84%,0,0
12/02/2024,958,958,958,958,-4.,-0.42%,0,0
11/29/2024,962,962,962,962,1,+0.10%,0,0
11/27/2024,961,961,961,961,5,+0.52%,0,0
11/26/2024,956,956,956,956,-3.,-0.31%,0,0
11/25/2024,959,959,959,959,2,+0.21%,0,0
11/22/2024,957,957,957,957,6,+0.63%,0,0
11/21/2024,951,951,951,951,-12.,-1.25%,0,0
11/20/2024,963,963,963,963,-6.,-0.62%,0,0
11/19/2024,969,969,969,969,-10.,-1.02%,0,0
11/18/2024,979,979,979,979,11,+1.14%,0,0
11/15/2024,968,968,968,968,11,+1.15%,0,0
11/14/2024,957,957,957,957,-19.,-1.95%,0,0
11/13/2024,976,976,976,976,0,0.00%,0,0
11/12/2024,976,976,976,976,-10.,-1.01%,0,0
11/11/2024,986,986,986,986,-6.,-0.60%,0,0
11/08/2024,992,992,992,992,2,+0.20%,0,0
11/07/2024,990,990,990,990,22,+2.27%,0,0
11/06/2024,968,968,968,968,3,+0.31%,0,0
11/05/2024,965,965,965,965,8,+0.84%,0,0
11/04/2024,957,957,957,957,4,+0.42%,0,0
11/01/2024,953,953,953,953,4,+0.42%,0,0
10/31/2024,949,949,949,949,6,+0.64%,0,0
10/30/2024,943,943,943,943,11,+1.18%,0,0
10/29/2024,932,932,932,932,-9.,-0.96%,0,0
10/28/2024,941,941,941,941,-14.,-1.47%,0,0
10/25/2024,955,955,955,955,-9.,-0.93%,0,0
10/24/2024,964,964,964,964,2,+0.21%,0,0
10/23/2024,962,962,962,962,5,+0.52%,0,0
10/22/2024,957,957,957,957,13,+1.38%,0,0
10/21/2024,944,944,944,944,11,+1.18%,0,0
10/18/2024,933,933,933,933,-19.,-2.00%,0,0
10/17/2024,952,952,952,952,10,+1.06%,0,0
10/16/2024,942,942,942,942,-3.,-0.32%,0,0
10/15/2024,945,945,945,945,-11.,-1.15%,0,0
10/14/2024,956,956,956,956,0,0.00%,0,0
10/11/2024,956,956,956,956,-9.,-0.93%,0,0
10/10/2024,965,965,965,965,-3.,-0.31%,0,0
10/09/2024,968,968,968,968,5,+0.52%,0,0
10/08/2024,963,963,963,963,-19.,-1.93%,0,0
10/07/2024,982,982,982,982,-4.,-0.41%,0,0
10/04/2024,986,986,986,986,-16.,-1.60%,0,0
10/03/2024,1002,1002,1002,1002,-10.,-0.99%,0,0
