Time,Open,High,Low,Last,Change,%Chg,Volume
12/06/2024,6081.38,6099.97,6079.98,6090.27,15.16,+0.25%,0
12/05/2024,6089.03,6094.55,6072.9,6075.11,-11.38,-0.19%,0
12/04/2024,6069.39,6089.84,6061.49,6086.49,36.61,+0.61%,0
12/03/2024,6042.97,6052.07,6033.39,6049.88,2.73,+0.05%,0
12/02/2024,6040.11,6053.58,6035.33,6047.15,14.77,+0.24%,0
11/29/2024,6003.98,6044.17,6003.98,6032.38,33.64,+0.56%,0
11/27/2024,6014.11,6020.16,5984.87,5998.74,-22.89,-0.38%,0
11/26/2024,6000.03,6025.42,5992.27,6021.63,34.26,+0.57%,0
11/25/2024,5992.28,6020.75,5963.91,5987.37,18.03,+0.30%,0
11/22/2024,5944.36,5972.9,5944.36,5969.34,20.63,+0.35%,0
11/21/2024,5940.58,5963.32,5887.26,5948.71,31.6,+0.53%,0
11/20/2024,5914.34,5920.67,5860.56,5917.11,0.13,0.00%,0
11/19/2024,5860.22,5923.51,5855.29,5916.98,23.36,+0.40%,0
11/18/2024,5874.17,5908.12,5865.95,5893.62,23,+0.39%,0
11/15/2024,5912.79,5915.32,5853.01,5870.62,-78.55,-1.32%,0
11/14/2024,5989.68,5993.88,5942.28,5949.17,-36.21,-0.60%,0
11/13/2024,5985.75,6008.19,5965.91,5985.38,1.39,+0.02%,0
11/12/2024,6003.6,6009.92,5960.08,5983.99,-17.36,-0.29%,0
11/11/2024,6008.86,6017.31,5986.69,6001.35,5.81,+0.10%,0
11/08/2024,5976.76,6012.45,5976.76,5995.54,22.44,+0.38%,0
11/07/2024,5948.15,5983.84,5948.01,5973.1,44.06,+0.74%,0
11/06/2024,5895.66,5936.14,5870.58,5929.04,146.28,+2.53%,0
11/05/2024,5722.43,5783.44,5722.43,5782.76,70.07,+1.23%,0
11/04/2024,5725.15,5741.43,5696.51,5712.69,-16.11,-0.28%,0
11/01/2024,5723.22,5772.48,5723.22,5728.8,23.35,+0.41%,0
10/31/2024,5775.34,5775.34,5702.86,5705.45,-108.22,-1.86%,0
10/30/2024,5832.65,5850.94,5811.69,5813.67,-19.25,-0.33%,0
10/29/2024,5819.68,5847.19,5802.17,5832.92,9.4,+0.16%,0
10/28/2024,5833.93,5842.92,5823.08,5823.52,15.4,+0.27%,0
10/25/2024,5826.75,5862.82,5799.98,5808.12,-1.74,-0.03%,0
10/24/2024,5817.8,5817.8,5784.92,5809.86,12.44,+0.21%,0
10/23/2024,5834.5,5834.85,5762.41,5797.42,-53.78,-0.92%,0
10/22/2024,5832.7,5863.04,5821.17,5851.2,-2.78,-0.05%,0
10/21/2024,5857.82,5866.92,5824.79,5853.98,-10.69,-0.18%,0
10/18/2024,5859.43,5872.17,5846.11,5864.67,23.2,+0.40%,0
10/17/2024,5875.62,5876.84,5840.25,5841.47,-1.,-0.02%,0
10/16/2024,5816.58,5846.52,5808.34,5842.47,27.21,+0.47%,0
10/15/2024,5866.74,5867.48,5804.48,5815.26,-44.59,-0.76%,0
10/14/2024,5829.81,5871.41,5829.57,5859.85,44.82,+0.77%,0
