Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
12/06/2024,562.25,562.25,562.25,562.25,-1.,-0.18%,0,0
12/05/2024,563.25,563.25,563.25,563.25,10,+1.81%,0,0
12/04/2024,553.25,553.25,553.25,553.25,0.75,+0.14%,0,0
12/03/2024,552.5,552.5,552.5,552.5,-4.875,-0.87%,0,0
12/02/2024,557.375,557.375,557.375,557.375,6.75,+1.23%,0,0
11/29/2024,550.625,550.625,550.625,550.625,0,0.00%,0,0
11/27/2024,550.625,550.625,550.625,550.625,7.125,+1.31%,0,0
11/26/2024,543.5,543.5,543.5,543.5,-2.25,-0.41%,0,0
11/25/2024,545.75,545.75,545.75,545.75,-11.,-1.98%,0,0
11/22/2024,556.75,556.75,556.75,556.75,-4.5,-0.80%,0,0
11/21/2024,561.25,561.25,561.25,561.25,-3.75,-0.66%,0,0
11/20/2024,565,565,565,565,2.75,+0.49%,0,0
11/19/2024,562.25,562.25,562.25,562.25,2.5,+0.45%,0,0
11/18/2024,559.75,559.75,559.75,559.75,5.75,+1.04%,0,0
11/15/2024,554,554,554,554,6.25,+1.14%,0,0
11/14/2024,547.75,547.75,547.75,547.75,-10.75,-1.92%,0,0
11/13/2024,558.5,558.5,558.5,558.5,-11.25,-1.97%,0,0
11/12/2024,569.75,569.75,569.75,569.75,-10.75,-1.85%,0,0
11/11/2024,580.5,580.5,580.5,580.5,-7.,-1.19%,0,0
11/08/2024,587.5,587.5,587.5,587.5,1,+0.17%,0,0
11/07/2024,586.5,586.5,586.5,586.5,-1.75,-0.30%,0,0
11/06/2024,588.25,588.25,588.25,588.25,2.25,+0.38%,0,0
11/05/2024,586,586,586,586,2.25,+0.39%,0,0
11/04/2024,583.75,583.75,583.75,583.75,8.25,+1.43%,0,0
11/01/2024,575.5,575.5,575.5,575.5,70,+13.85%,0,0
10/31/2024,505.5,505.5,505.5,505.5,-2.75,-0.54%,0,0
10/30/2024,508.25,508.25,508.25,508.25,2.75,+0.54%,0,0
10/29/2024,505.5,505.5,505.5,505.5,11.75,+2.38%,0,0
10/28/2024,493.75,493.75,493.75,493.75,-10.25,-2.03%,0,0
10/25/2024,504,504,504,504,-12.5,-2.42%,0,0
10/24/2024,516.5,516.5,516.5,516.5,3,+0.58%,0,0
10/23/2024,513.5,513.5,513.5,513.5,2.5,+0.49%,0,0
10/22/2024,511,511,511,511,3.75,+0.74%,0,0
10/21/2024,507.25,507.25,507.25,507.25,-0.5,-0.10%,0,0
10/18/2024,507.75,507.75,507.75,507.75,-16.75,-3.19%,0,0
10/17/2024,524.5,524.5,524.5,524.5,4.5,+0.87%,0,0
10/16/2024,520,520,520,520,5.5,+1.07%,0,0
10/15/2024,514.5,514.5,514.5,514.5,-5.75,-1.11%,0,0
10/14/2024,520.25,520.25,520.25,520.25,-13.75,-2.57%,0,0
10/11/2024,534,534,534,534,-4.75,-0.88%,0,0
10/10/2024,538.75,538.75,538.75,538.75,4.75,+0.89%,0,0
10/09/2024,534,534,534,534,4.25,+0.80%,0,0
10/08/2024,529.75,529.75,529.75,529.75,-5.25,-0.98%,0,0
10/07/2024,535,535,535,535,2.75,+0.52%,0,0
